,username,text,date,is-retweet,likes,retweets,comments
0,Altcoin Daily,🔴 Best crypto exchange to buy & trade Bitcoin: $30k worth of deposit bonuses 👇 >>> https://partner.bybit.com/b/altcoindaily,02/28/2024 08:02 PM,False,780,1236,812
1,Altcoin Daily,Bitcoin is not a bubble. It's the pin. 📌,05/03/2024 12:20 PM,False,541,66,156
2,Altcoin Daily,The BlackRock Crypto Market Crash Has Begun...?  Let's discuss -- #Bitcoin ETF Outflows Have Begun -- BlackRock in Talks w/ #Hedera (for real this time) -- What's Next for Cardano? $ADA -- #LayerZero About to Dip? -- $EXVG News #altcoins -- & MORE!  WATCH: https://piped.video/vHkMM4-P1DA,05/03/2024 01:03 AM,False,404,60,125
3,Altcoin Daily,"Will SEC ‘go nuclear,’ label #Ethereum a security? Crypto ETF expert weighs in 👇  https://www.thestreet.com/crypto/policy/crypto-etf-expert-outlines-sec-nuclear-option-ethereum-security-ruling",05/02/2024 03:42 PM,True,343,66,128
4,Altcoin Daily,14 Huge Companies That Have Adopted Crypto  1) @limewire                       2) @RadioShack                          3) @Starbucks               4) @PayPal                              5) @Nike                        6) @Meta  7) @Adobe  8) @Disney  9) @MercedesBenz            10) @IBM                         11) @Mastercard   12) @Tesla 13) @BlackRock  14) @CocaCola  Bonus: @McDonalds by always hiring 😂,05/02/2024 03:34 PM,True,439,86,118
5,Altcoin Daily,REVEALED: Gary Gensler has believed Ethereum to be a security for at least a year.,05/02/2024 10:32 PM,False,303,44,112
6,Altcoin Daily,Binance exchange hits 190 million users 🚀,05/02/2024 10:28 PM,False,304,31,70
7,Altcoin Daily,US PayPal users can now purchase the following crypto coins:  - Solana  - Cardano - Chainlink - Polkadot - Shiba Inu - Dogecoin  Made possible via MoonPay,05/02/2024 09:48 PM,False,1724,289,200
8,Altcoin Daily,"MicroStrategy Now Holds 214,400 Bitcoin",05/02/2024 09:40 PM,False,2050,262,347
9,Altcoin Daily,Source: THE BLOCK,05/02/2024 09:17 PM,False,16,1,7
10,Altcoin Daily,Uniswap wallets more than DOUBLED in the past year!  140% increase from 3.03M in May 2023 to 7.26M in May 2024.   The doubling comes as Uniswap surpassed a historic $2 trillion in cumulative trading volume in early April.,05/02/2024 09:17 PM,False,157,18,55
11,Altcoin Daily,Coinbase's Q1 earnings are in!!!  Coinbase generated $1.6B in revenue during Q1 of 2024 (compared to $736M for the same period in 2023).  Transaction revenue across both institutional and consumer clients increased to $1.08B.,05/02/2024 09:11 PM,False,929,159,80
12,Altcoin Daily,me on Uniswap today,05/02/2024 08:20 PM,False,196,35,117
13,Altcoin Daily,Companies we are still waiting on... 1) Apple,05/02/2024 08:03 PM,False,91,6,18
14,Altcoin Daily,BlackRock sees Sovereign Wealth Funds & Pensions coming to Bitcoin ETFs  The flood gates are open 🌊🌊🌊,05/02/2024 07:54 PM,False,1581,298,141
15,Altcoin Daily,I'm so excited about the future of this space!  Crypto is a revolution!  We are here moving it forward!,05/02/2024 07:24 PM,False,475,84,140
16,Altcoin Daily,Institutions want you to sell so they can buy cheaper. #bitcoin,05/02/2024 07:01 PM,False,967,229,189
17,Altcoin Daily,Microstrategy Plans to Launch a Decentralized Identity Solution on Bitcoin,05/02/2024 06:06 PM,False,1032,129,131
18,Altcoin Daily,Bitcoin is very secure! Hashrate continues to climb!,05/02/2024 05:48 PM,False,1258,362,151
19,Altcoin Daily,"I was very vocal that #bitcoin would most likely dip post-halving.  Many people said 'up only', but I've been through too many cycles not to voice my opinion.  Think long term. Let crypto consolidate. Bitcoin will continue to 'crash' all the way up. 👍",05/01/2024 07:50 PM,True,1137,173,163
20,Altcoin Daily,Which #crypto painting do you prefer?,05/01/2024 09:56 PM,True,228,60,152
21,Altcoin Daily,"This week, I'm counting on _____ to #PUMP!  🟢",05/02/2024 01:08 PM,False,696,117,813
22,Altcoin Daily,9 Altcoins STILL down 85% (or more) from ATH  1) Cardano $ADA - 🔻85%                   2) XRP $XRP - 🔻85% 3 Polkadot $DOT - 🔻88%                              4) Vechain $VET - 🔻88%                5) Mina Protocol $MINA - 🔻91%.               6) The Graph $GRT - 🔻92% 7) GALA $GALA - 🔻95% 8) Internet Computer $ICP - 🔻98% 9) Biconomy $BICO - 🔻98%,05/01/2024 04:48 PM,True,2117,371,403
23,Altcoin Daily,Bitcoin price is in free fall 📉  At what price will buyers be enticed to jump back in?,05/01/2024 04:10 PM,True,1316,288,396
24,Altcoin Daily,BREAKING: Federal Reserve to keep interest rates unchanged at 5.25% - 5.50%.,05/01/2024 06:03 PM,True,1233,162,206
25,Altcoin Daily,My friend just put them on his website.   Will be interesting to see which sells first. 😀  https://www.arttimegallery.org/collections/crypto,05/01/2024 09:58 PM,False,42,12,15
26,Altcoin Daily,Why is Bitcoin STILL Dumping?  Watch it hit THIS Price Level!  Click HERE 👇 https://piped.video/bhlQbNX8rbc,05/01/2024 09:00 PM,False,160,29,94
27,Altcoin Daily,#AltcoinDailyArmy,05/01/2024 06:37 PM,False,210,32,72
28,Altcoin Daily,Bitcoin is on sale today.,05/01/2024 06:17 PM,False,1380,392,148
29,CryptosRus,"Rapidly-dropping metric points to imminent #bitcoin price gains, analyst says  https://www.thestreet.com/crypto/markets/bitcoin-price-gains-imminent-as-crypto-exchange-levels-drop-per-analyst",05/01/2024 12:43 PM,True,139,11,47
30,Altcoin Daily,Bill Maher: #Bitcoin is a ‘Ponzi scheme’.,05/01/2024 04:19 PM,False,1453,200,1029
31,Altcoin Daily,The ACTUAL reason #bitcoin is crashing today...  Let's discuss -- Hong Kong $BTC & $ETH ETF Failure...? -- BlackRock ETF Inflows on Halt for 4 Straight Days -- CZ #Binance Sentenced to 4 Months in Prison -- Roger Ver Arrested in Spain $BCH -- & MORE!  WATCH: https://piped.video/3_VukRgFcf8,05/01/2024 01:04 AM,True,392,66,157
32,Altcoin Daily,Less than 500 more followers until 1.6M.  The #AltcoinDailyArmy is taking over! 🙏💪,05/01/2024 05:01 AM,True,375,47,139
33,Cassius Cuvée 💎🙌🏽,Yooo tell a friend to follow and subscribe to @AltcoinDailyio 🔥,05/01/2024 03:32 PM,True,33,5,25
34,Altcoin Daily,"Starting today, Coinbase is rolling out support for the Lightning Network enabling instant, low-cost Bitcoin transfers.",04/30/2024 04:10 PM,True,1211,306,130
35,Altcoin Daily,Patrick McHenry (the U.S. House Financial Service Committee chair) has accused Gary Gensler of misleading US lawmakers over Ethereum.,04/30/2024 11:25 PM,True,2888,506,263
36,Sander Gortjes,"This is what we all wanted: More drama, more projects, more whales, more reach, and even more partners.  Go out and vote, @KillerWhalesTV is here to make our Web3 space even bigger. Working with @CoinMarketCap and @AltcoinDailyio as co-producers with @thehellolabs is a match made in heaven.",05/01/2024 02:11 PM,True,81,33,15
37,Altcoin Daily,Don't Buy Bitcoin https://piped.video/shorts/vII3xWrXzwY,05/01/2024 02:20 PM,False,129,23,103
38,Altcoin Daily,"Bitcoin dips to $56,000",05/01/2024 02:10 PM,False,1713,558,247
39,Altcoin Daily,V E C H A I N,05/01/2024 05:07 AM,False,1039,149,260
40,Altcoin Daily,Binance founder Changpeng Zhao sentenced to four months in prison.  CZ has been telling us this whole time. #crypto,04/30/2024 07:18 PM,True,2888,373,401
41,Altcoin Daily,Bitcoin dipped below 60k today.,04/30/2024 10:43 PM,False,735,95,202
42,Alex SBorg 💚,"I'm deeply saddened by the recent Roger Ver news...  For those who don't know the contribution he has made for our space, Roger was the #1 sales rep in the 🌎 for #Bitcoin from 2011-2017.   Roger also started the 1st Bitcoin meetup in 🇯🇵 and I personally had the chance to learn through his passion and conviction back in 2016.  Not to mention, he translated #Satoshi #Nakamoto's #whitepaper in Japanese which thanks to him was the largest #crypto market in the world with the 🇺🇸 for almost 2 consecutive years.  I hope many of us will send and show support so Roger will get out of this political BS as soon as possible.   🧡Great memories, Great learnings here... Watch🧡:  https://piped.video/watch?v=VKKTWWa4k8o&t=81s",04/30/2024 09:22 PM,True,105,18,31
43,Altcoin Daily,"Roger is literally a multi, MULTI billionaire.   I assume he will just settle/plea deal and move on.  Like CZ.",04/30/2024 07:34 PM,False,237,14,49
44,Altcoin Daily,Like this post of you support CZ of Binance. ❤️👈,04/30/2024 10:35 AM,True,2180,144,248
45,Altcoin Daily,"JUST IN: 'Bitcoin Jesus' Roger Ver Charged With $50 Million Tax Evasion.                                                                                                                                                                          Roger was arrested this weekend in Spain, with possible extradition to the United States.  The DOJ alleges that Ver evaded paying taxes to the amount of nearly $50 million, conducted mail fraud, and filed false tax returns.",04/30/2024 07:29 PM,False,570,112,124
46,Altcoin Daily,"CZ of Binance will be sentenced in a U.S. court in Seattle tomorrow after pleading guilty to one count of violating the Bank Secrecy Act last November.  The Department of Justice has recommended 3 years in prison, citing the scale of his misconduct.  Why 3 years?  CZ's plea agreement said he couldn’t appeal any sentence under 18 months.  While there was no clauses preventing U.S. prosecutors from recommending a greater sentence, CZ would then have the right to appeal it.  How much jail time do YOU think CZ should receive?  Stay tuned for tomorrow. I am following. 🔔👈",04/30/2024 01:23 AM,True,2938,517,1106
47,Altcoin Daily,Me listening to a stranger's #crypto conversation and realizing how early we are.,04/30/2024 01:34 AM,True,1947,330,298
48,Altcoin Daily,This young man grew up to found Binance. 🌱,04/29/2024 12:43 PM,True,7354,921,3543
49,The Wolf Of All Streets,Bitcoin to $150k this year?  https://www.thestreet.com/crypto/markets/standard-chartered-150000-bitcoin-price-prediction-2024,04/30/2024 12:30 AM,True,890,126,129
50,Altcoin Daily,Russia Preparing for Complete Crypto Ban!?  What's really going on?  Click HERE 👇 >> https://piped.video/KxzojFs-XAg,04/29/2024 06:19 PM,False,214,36,135
51,Altcoin Daily,Source:,04/29/2024 04:32 PM,False,82,9,39
52,Altcoin Daily,Russia to only allow domestic digital assets,04/29/2024 04:27 PM,False,109,3,38
53,Altcoin Daily,"Over 12,800 new subscribers in the last 7 days.  Insane! #crypto",04/28/2024 04:39 PM,True,699,222,398
54,Altcoin Daily,"When the Gold ETF was approved in 2004, there was an 8 year bull run.  Yet, it took the Gold ETF more than 800 days to reach what BlackRock's #Bitcoin ETF (in AUM) achieved in just over 70 days.  What does this mean?                               Demand for bitcoin is much greater (than gold in 2004) with supply being much more scare.   This is just the beginning...",04/28/2024 08:36 PM,True,2736,844,1902
55,Altcoin Daily,"Hear me out..  Gold but actually scarce. And more decentralized. And more portable, divisible, verifiable & durable.",04/28/2024 08:50 PM,True,946,244,200
56,Altcoin Daily,Taking some big meetings this week.  2024 is turning into an amazing year  & the best is yet to come  $BTC $ETH #crypto,04/28/2024 10:42 PM,True,419,27,145
57,Altcoin Daily,Russia preparing for total crypto ban. 🇷🇺,04/29/2024 02:23 PM,False,2367,297,1036
58,Altcoin Daily,Spot Ethereum ETFs in the US will be approved eventually.,04/29/2024 02:05 PM,False,1296,139,269
59,Altcoin Daily,Bitcoin ETFs coming to Australia 🇦🇺,04/29/2024 04:30 AM,True,2888,740,345
60,Altcoin Daily,Have a plan to take profits 👏   You don’t want to go through this entire crypto cycle watching your net worth 50x just to have it all slip away. Take responsibility.  Pay yourself 👇,04/28/2024 10:28 PM,False,881,92,139
61,Altcoin Daily,Bitcoin is the future 🚀,04/28/2024 10:19 PM,False,1192,131,213
62,Altcoin Daily,Great conversation w/ Bloomberg ETF Analyst @JSeyff!  We discuss -- Current State of #Bitcoin ETFs -- Why Inflows Just Went Negative 😨 -- Will an #Ethereum ETF be Approved in 2024? -- Impact of Hong Kong ETFs (Bitcoin & Ethereum) -- & MORE!  WATCH: https://piped.video/7ebH63aLncw,04/28/2024 09:01 PM,False,180,24,87
63,Altcoin Daily,me telling mom & dad about crypto,04/28/2024 08:33 PM,False,615,130,119
64,Altcoin Daily,Note: If the NVIDIA earnings call is negative or 'underperforms' expect AI coins may crash.,04/27/2024 05:13 PM,True,114,11,22
65,Altcoin Daily,I really don’t feel the need to ever sell bitcoin…,04/28/2024 07:37 PM,False,689,61,220
66,Altcoin Daily,Convince 1 friend to buy crypto & change their life?,04/28/2024 06:16 PM,False,763,152,444
67,Altcoin Daily,Eminem posts crypto .com commercial.,04/27/2024 07:04 PM,True,2243,486,246
68,Altcoin Daily,"The next #NVIDIA Earnings Call is coming May 22nd (Wednesday).  If positive, expect AI Coins to 'absolutely rip' 📈📈  Here are 7 Top Artificial Intelligence (AI) Coins I'm watching.  1) Render $RNDR - decentralized GPU rendering 2) Bittensor $TAO - decentralized ML marketplace 3) OriginTrail $TRAC - AI-powered verifiable internet 4) PAAL AI $PAAL - AI-powered chatbot ecosystem 5) $AIT Protocol - AI data infrastructure & annotation  6) ChainGPT $CGPT - suite of powerful AI tools 7) @limewire $LMWR - AI studio for artists  Bonus: Aether Cloud $ATH (not live yet)",04/27/2024 05:13 PM,True,1115,213,275
69,Altcoin Daily,Forbes (in 1999) said the #internet was awful because it uses too much electricity.  Sound like #Bitcoin today? 🤯  Article: https://forbes.com/forbes/1999/0531/6311070a.html?sh=2863b8542580,04/28/2024 03:21 PM,False,854,298,159
70,Altcoin Daily,Feels good to be in crypto! 🌝👍  #BTC $ETH $ADA $SOL $ICP,04/26/2024 03:50 PM,True,2028,487,499
71,Altcoin Daily,Not the @limewire we all grew up with. #AI #crypto,04/27/2024 06:36 AM,True,242,53,122
72,Altcoin Daily,Something tells me the Cardano story isn't over...,04/28/2024 02:41 AM,True,1694,146,462
73,Altcoin Daily,all it takes is one good trade #crypto,04/28/2024 04:00 AM,False,1158,248,314
74,Altcoin Daily,What coins are in your crypto wallet? 🫰,04/28/2024 01:38 AM,False,617,133,356
75,Altcoin Daily,"BIG MOMENT FOR CRYPTOCURRENCY!!  Let's discuss: -- Ethereum ETF Update  -- Bitcoin Price - What Comes Next? -- Eminem crypto news -- @Somnia_Network Milestone -- $BICO, $ARB, @limewire  WATCH: https://piped.video/1BfuV4LDIMg",04/28/2024 12:41 AM,False,273,37,138
76,Altcoin Daily,"Eminem has replaced Matt Damon as the new face of a Crypto .com advertisement.  The ad, featuring Eminem stepping up to the mic, is set to premiere during the Los Angeles Lakers NBA Playoff game at the Crypto .com Arena.  This marks a notable return of high-profile celebrities endorsing cryptocurrency following a decline after the FTX collapse.  The ad will also be featured at other major sporting events, including the Formula 1 Miami Grand Prix and a UFC event.",04/27/2024 07:08 PM,False,282,41,47
77,Altcoin Daily,Franklin Templeton lists #Ethereum ETF on DTCC,04/27/2024 06:42 PM,False,2525,556,234
