,username,text,date,is-retweet,likes,retweets,comments
0,WIZZ🥷 ( beware scammers ),Enjoy your weekend lads.  I dont expect high volitaility in the next few days.  Probably some chop here between 57 and 60 k before the next run starts later.  #btc,05/03/2024 10:50 AM,False,675,41,102
1,WIZZ🥷 ( beware scammers ),$GPU,05/02/2024 08:04 PM,False,401,56,87
2,"Sk Ryder(💙,🧡) 🛸🛡️","$HASHAI stands out among many AI projects and is one of my preferred AI investments. Since its launch, they have achieved significant growth;  - Increased their mining rigs by over 400 units - Doubled their GPU expansion to exceed 1,000 GPUs - Developing a Node rental marketplace within their ecosystem  I believe this will do well once market bounces back, currently sitting at $149m",05/02/2024 06:57 PM,True,228,39,48
3,XSwap 🔗,"$XSWAP Launches – A New Era in Cross-Chain Begins!  Listing Date: May 6th 2024 at 14:00 UTC  Official Contract Address: 0x8fe815417913a93ea99049fc0718ee1647a2a07c  Chain: BASE  Launching on: Gate_io, MEXC, Uniswap, Aerodrome, and XSwap.  Get ready for a powerful launch as we build the most expansive Cross-Chain ecosystem.",05/02/2024 05:01 PM,True,1003,272,229
4,Houdini Swap,"Monero will always be a key player in our privacy journey. Now, we're excited to introduce Aggregator v2, here to improve our privacy-enabling infrastructure.   You can read all about it in our latest Medium article. Drop any questions below 👇  https://houdiniswap.medium.com/a-new-route-to-privacy-introducing-aggregator-v2-31059d5eb92d",05/02/2024 05:00 PM,True,156,32,16
5,WIZZ🥷 ( beware scammers ),I remain bullish. Until proven otherwise.   The bullrun isnt done yet. And the only ones here shouting are the sideliners since the 15 k bottom  Matter of time before we resume the pump #btc,05/02/2024 05:58 PM,False,2706,172,214
6,doc🃏,We follow the current thing. We dont think. We are sheep. We ape.  We are the $NPC army.   You cant defeat us.,05/02/2024 01:06 PM,True,324,66,42
7,WIZZ🥷 ( beware scammers ),Big $CAH X $IMX,05/02/2024 04:57 PM,False,247,34,59
8,BIG DICK BULL (BDB),THIS is where you mfs decide to flip bearish???  FUCK YOU.,05/02/2024 03:46 PM,True,1090,110,53
9,Johnny,Top 5 mining market cap in the top 5 are $1.1B+  $HASHAI has a market cap of $150M that utilizes AI   Expecting HASH to make a move towards $1B+ market cap as the new $3M expansion center goes live and more data centers are acquired,05/02/2024 04:34 PM,True,529,89,86
10,Katana Inu,"Are you ready $KATA Fam?  Prepare for an adrenaline-fuelled showdown in the most epic 3vs3 Battles ever!🥷⚔️  We strive to create a must-play game in #Web3 that will keep you on the edge of your seat! Watch now!🔥   GAME ON, folks!🎮  💬 down below if u played the game!👇",04/30/2024 01:22 PM,True,411,93,36
11,𝐂𝐑𝐘𝐏𝐓𝐎 𝐀𝐋𝐔𝐂𝐀𝐑𝐃 🆃🅷🆁🅴🅰🅳🅾🆁,https://x.com/i/spaces/1vAxRvyqrjYxl,05/02/2024 01:59 PM,True,122,44,204
12,WIZZ🥷 ( beware scammers ),$TRAC,05/02/2024 03:16 PM,False,318,44,58
13,WIZZ🥷 ( beware scammers ),Lovely weather in the netherlands today ☀️  Enjoy,05/02/2024 10:45 AM,False,1228,36,203
14,Johnny,$ATOR on a key level here support level here where the original impulse happened   Hearing they have a lot of announcements coming in May 👀 even a rebrand   Sold off due to fud w/ Uniswap but expecting this to recover. A lot of good moving parts happening behind the scenes,05/01/2024 09:47 PM,True,523,68,96
15,jonnybravo,Run it back turbo?   $ROOST,05/01/2024 09:12 PM,True,242,51,44
16,WIZZ🥷 ( beware scammers ),#10 of Dortmund crazy player.,05/01/2024 08:37 PM,False,655,18,160
17,Hash AI,"Exciting Expansion Update 🚀  We’re happy to announce the addition of 10 more high-performance mining rigs, bringing our total to an impressive 60 rigs equipped with 480 GPUs!   🌟 How This Affects #HashAI:  Increased Power: More hashing power, boosting our overall yield from mining. Enhanced Efficiency: With more #GPUs at work, our operations are more optimised.  We look forward to a future of further expansions of our infrastructure and $HashAI ecosystem!",05/01/2024 08:01 PM,True,513,123,87
18,quinto.eth,"💪While the market dumped, $ZIG stood strong - Now, with the recovery coming, we’re moving fast towards new highs! 🚀🚀  🔹$110k+ bought back & burnt in April!   🔹Launched #ZIGChain Layer 1 Blockchain + $100M Ecosystem Fund in collaboration with DWF Labs 🚀  🔹 CAT-II license - Fully regulated to aggressively market products!   🔹MAJOR PARTNERSHIPS in May! 🤝  LFG 🚀",05/01/2024 07:32 PM,True,231,34,22
19,IncomeSharks,That's insane. One of the better looking microcap charts right now.,05/01/2024 08:00 PM,True,250,52,49
20,WIZZ🥷 ( beware scammers ),Second half   Letsgoo  Dortmund-PSG,05/01/2024 08:08 PM,False,568,16,90
