,username,text,date,is-retweet,likes,retweets,comments
0,Koroush AK,"First crypto bull market I almost became a millionaire.  Second crypto bull market I reached financial freedom.  I now can work with whoever I want, whenever and do whatever.  Lessons learned along the way:        1. $10mil+ is enough to retire, despite what crypto X says.  2. Retirement sucks but freedom is great.  3. Trading is more a human psychology game than a numbers game.  4. Prepare in the bear market and the bull market is money printing.  5. People will always think you got lucky. Don't take it personally, it's just cope.  6. Every trading day in a bull market is like two weeks in a bear market.  7. Once you learn consistency, you can succeed at anything.  8. People who get crazy rich quickly from crypto end up in jail or broke.  9. 5 good X accounts are enough to get all the crypto market information you need.  10. Watch ""Blue Lock"" or ""Kengan Ashura"" when you feel burnt out.  11. 90% of people will make more money buying $BTC + $ETH and chilling.  12. The other 10% have done my free crypto trading course on telegram.  13. Build long term things only. Once the bull market ends, everything short term collapses.  14. Never idolise individuals. We're all human and flawed.  15. There is a brutal invisible tax if you get rich through luck. You pay with the constant fear of losing wealth that isn't earned.  16. Make patience your edge, no one wants to copy that.  17. The greatest pleasures in life are free.",10/12/2023 01:53 PM,False,4675,780,470
1,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto/415",05/03/2024 07:02 AM,False,3,0,3
2,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto/415",05/03/2024 05:54 AM,False,9,0,2
3,Koroush AK,$AVAX +12% from lows $LINK +10% from lows $SOL +20% from lows  #altcoins dips and bounces are great opportunities.  I'll share a strategy to trade them over the weekend.  Interested?,05/02/2024 06:01 PM,True,333,12,31
4,Koroush AK,Good $BTC analysis,05/02/2024 05:08 PM,False,39,7,11
5,Koroush AK,What's your trading plan in these market conditions?  Genuinely curious.,05/02/2024 03:56 PM,False,53,0,49
6,Koroush AK,All eyes on the $60k retest.  The rest of the market will follow $BTC.,05/02/2024 03:24 PM,False,142,10,14
7,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto/415",05/02/2024 08:55 AM,False,7,0,1
8,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto/415",05/02/2024 04:56 AM,False,7,0,1
9,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto/415",05/02/2024 01:32 AM,False,7,0,4
10,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto/415",05/01/2024 08:30 PM,False,9,1,8
11,Koroush AK,Many will make millions in the bull phases of crypto.  But 90% will lose everything.  I will teach step by step what to do when the market crashes.,05/01/2024 03:25 PM,False,242,25,22
12,Koroush AK,"The biggest winners of the next crypto all time high are created now.  Don't give up, keep showing up daily.  You don't need to be better than your competition, just stay in the game longer.",05/01/2024 12:02 PM,False,325,31,26
13,Koroush AK,Influencers who told you with 100% certainty we can't go lower are deleting tweets.  Real traders are thriving.,05/01/2024 09:00 AM,False,225,13,21
14,Koroush AK,"$BTC Update  -High Time Frame: Bullish -Medium Time Frame: Bearish -Low Time Frame: Bearish -Sentiment: Shakey  Traders probable downside until the next key HTF level $52k.   Invalidated if we reclaim $60k.  This means opportunities to short to the downside and/or buy at next structural support.  Spot holders, as usual, chill tf out.",05/01/2024 07:56 AM,False,238,28,24
15,Koroush AK,Learn systems for trading without complex indicators.  No BS. No pump and dumps.  Just skills that actually work.  https://t.me/koroushakcrypto/415,04/30/2024 05:58 PM,False,9,3,0
16,Koroush AK,The trading roadmap I wish someone gave me 7 years ago.  Guide.,04/30/2024 04:00 PM,False,321,49,25
17,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto/415",04/30/2024 03:09 PM,False,7,1,0
18,Koroush AK,"In these conditions, overconfident up only traders get liquidated.  But there's still plenty of opportunity.  Current market conditions are;  -High Time Frame: Bullish -Medium Time Frame: Chop -Low Time Frame: Bearish -Sentiment: Shakey  Spot holders are panicking, bad traders have no idea what to do.  In these conditions;  1.   If you're a long term investor chill tf out.  2.  If you were a trader randomly buying and selling thinking you were the next George Soros...   It's time to start learning the game.   Start with a foundation of TA, risk management and journaling.  I've got a free course on this in my bio --> @KoroushAK   3.   If you had a strategy that was doing well and is no longer working. You can   A: Stop trading until your market conditions return  B: Iterate the system to work in the new market conditions  4.  If you're still making money, get off X and go make more money.",04/30/2024 11:25 AM,False,160,20,11
19,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto",04/29/2024 06:04 PM,False,8,2,8
20,Koroush AK,"If you're a trader, remember:  - Technical Analysis easy  You're just drawing lines on a chart.  - Trading is hard  Combine those lines with risk management, trade management, and journaling.  - Psychology is harder  Stop self sabotage.  Master all 3, you will become profitable.",04/29/2024 04:04 PM,False,285,36,25
21,Koroush AK,"Zero Complexity Trading: How to Become a Profitable Trader  Full trading course with videos, lessons, PDFs, assignments and more…  Better than $1000+ paid courses.  100% free.  Releasing every week.  Follow and comment ""yes"" and I'll DM you the details.",04/29/2024 12:00 PM,False,630,69,841
22,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto",04/28/2024 09:32 PM,False,13,1,2
23,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto",04/28/2024 06:25 PM,False,8,3,6
24,Koroush AK,Every day I wake up and pursue   - Elite physical fitness - Fortified mind - Positive impact on the world - Abundant wealth - Cared for family  Nothing else matters.,04/28/2024 01:55 PM,False,264,24,24
25,Koroush AK,"Signals groups, paid indicators, and complex strategies won't make you profitable.  These are shortcuts to avoid hard work.  Like buying a diet pill instead of eating less and exercising.  There's no substitute for a solid foundation, a trading journal, and tons of screen time.",04/28/2024 12:02 PM,False,174,16,25
26,Koroush AK,"I never risk more than 5% of my portfolio on a trade, usually <3%  Many will outperform this strategy by risking more.  But they'll also get wiped out.  Controlled risk means;  -Net worth highs every year -Knowing you can make consistent income -Low stress",04/27/2024 12:03 PM,True,229,34,26
27,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto",04/27/2024 06:02 PM,False,12,1,3
28,Koroush AK,🤝,04/27/2024 04:32 PM,False,27,2,4
29,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto",04/27/2024 07:04 AM,False,8,1,9
30,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto",04/27/2024 06:04 AM,False,6,2,3
31,Koroush AK,"Join 40,000+ crypto traders.  Charts, analysis and education.  Learn for free: https://t.me/koroushakcrypto",04/27/2024 05:58 AM,False,3,2,3
32,Koroush AK,Everyone remembers their first day in crypto.  But not because they made or lost money.  Because they experienced one of the biggest mindset shifts of their lives.  This is the future.,04/26/2024 03:58 PM,False,306,38,32
33,Koroush AK,“You trade crypto? What a degenerate.”  What they don’t realize:  -We risk less than 3% per trade -We follow a structured routine -We constantly develop strategies  Let them talk.,04/26/2024 02:05 PM,False,194,13,24
34,Koroush AK,"Even at a casino, you can’t win without an edge.  Every edge in my arsenal lives in this library.  Free: https://t.me/koroushakcrypto/415",04/26/2024 01:04 PM,False,13,3,3
35,Koroush AK,"Crypto isn’t a 24/7 casino.  The “never miss a moment” guy will always get wrecked.  You need a routine, you need structure  As traders, we don’t have a boss who keeps us accountable.  After 7 years of trading, my “Morning Anchor” has saved me time and time again.  I’ll outline it for you:  06:00 - Avoid charts and screens  06:45 - 15 minutes of meditation (or anything that raises your emotional awareness)  07:00 - Check the price of your main assets, market sentiment, etc.  07:30 - Prepare your trading plan. Set alerts for price levels or key volume/volatility levels.  I do this no matter what.  Holidays, vacation, travel, doesn’t matter.  You need to understand that only 10% of your time will be spent physically trading.  The 90% is spent:  -Improving and optimizing current strategies -Managing expectations/handling emotions -Working on mental and physical health -Networking with other traders -Creating new strategies  You’re not trading if conditions aren’t met.  What you are doing is working on things that improve your ability to trade.  The biggest mistake I ever made in my early 20s was trading 24/7.  You must have a hard stop.  Set the time and stick to it.  Sleep > Grabbing extra trades",04/26/2024 12:04 PM,False,231,36,23
36,Koroush AK,It’s financially irresponsible to not consider crypto as an addition to your overall investment portfolio.,04/25/2024 03:56 PM,False,144,18,10
37,Koroush AK,Legendary boxers have legendary trainers.  Same can be said for day traders.  I’ll train you for free: https://t.me/koroushakcrypto/415,04/25/2024 01:55 PM,False,15,2,3
38,Koroush AK,"Not sure who needs to hear this  But if you’re trying to catch the top of the market, you never will.  Here’s what will happen:  -You’ll be more stressed -You’ll lose more money -You’ll waste more time  I’ve made millions without ever nailing the top.",04/25/2024 01:55 PM,False,154,13,8
39,Koroush AK,"3. Pick and stick to your strategy  90% of people will make more money buying $BTC + $ETH and chilling.  If you do decide to trade  Find just one strategy (that works) and don’t deviate from it, only improve and repeat.  Why fold your winning hand?",04/25/2024 12:03 PM,False,51,4,5
40,Koroush AK,"2. Take advantage of extreme greed and fear  When the masses are terrified it's a bad time to sell.  When the masses are geniuses it's a bad time to buy.  You'll still feel these emotions, observe them but don't act on them.",04/25/2024 12:03 PM,False,34,1,2
41,Koroush AK,"1. You can make money in both markets  I know some traders that do better in bear markets.  If you build real skills, you can make money in any market.  With that said.  Every day in a bull market is worth a week in the bear market, don't waste it.",04/25/2024 12:03 PM,False,15,2,2
42,Koroush AK,3 things you need to know:  1. You can make money in both markets 2. Take advantage of extreme greed and fear 3. Pick and stick to your strategy  I’ll explain:,04/25/2024 12:03 PM,False,22,2,2
