,username,text,date,is-retweet,likes,retweets,comments
0,That Martini Guy,ALERT 🚨: FOMC MEETING LIVE!! HUGE #BITCOIN CRASH!! LIVE Bitcoin Trades! 100x Altcoins 2024  LINK BELOW 👇 JOIN ME LIVE https://piped.video/live/95EntVVDrwA?feature=share,05/01/2024 05:46 PM,False,96,14,80
1,That Martini Guy,I have a huge bag of $AXL so this partnership between $WARP & $AXL for me is huge  Warden protocol one to watch on AXELAR 👌👀,05/03/2024 11:29 AM,False,7,3,14
2,That Martini Guy,"I've seen a lot of guys on CT speaking about $TABOO more frequently as the project gains traction with their product releases, like Live Streaming features on their new marketplace.  From what I hear they have mass marketing campaigns already in place for 7+ figure sums to onboard even more web2 & web3 users.  $TABOO resting on range support here and presenting a great entry opportunity as the market-wide correction is over and the rally continues.  Currently it's sitting at a $15.66M mcap, which is still ~26x off it's previous ATH.   Best places to buy is @MEXC_Official and @gate_io.",05/03/2024 10:41 AM,False,26,3,54
3,That Martini Guy,I know near certainly 3 Altcoins that will minimum 10x over the next 3 months   A huge pump is coming  Did you spot the next narrative yet?,05/03/2024 09:28 AM,False,196,13,156
4,That Martini Guy,LAUNCH SOON… $BB  You can farm the airdrop for this quite easily just go to their website and follow the steps,05/03/2024 08:33 AM,False,29,5,103
5,Stonksy.io,Launch is coming.  Stealth for over 2 years building.  We have developed the most accurate yet simple & easy to understand indicator.  We have tried thousands of different models.  We landed on the perfect solution.,05/02/2024 04:27 PM,True,7,2,11
6,That Martini Guy,"Found @MemereumBSC just in time for their presale to kick off!  Looks like they're launching an innovative blockchain insurance solution covering crypto assets, fiat, and precious metals.  ✅ Starting strong with 183% auto staking and 75% crypto lending rates. ✅ DeFi card comes with many rewards and exclusive NFTs for early adopters. ✅ Secured listings on two exchanges, with more on the way. ✅ Passed a thorough audit by BlockSafu.  ✅ Reported an impressive 1600% profit at launch.  Check out the presale: https://www.memereum.net Community links: @MemereumBSC, https://t.me/MemereumBSC",05/02/2024 07:02 PM,False,129,77,52
7,That Martini Guy,"There will be a point in not too distant future where you will regret not having bought the #Bitcoin dip at $115,000  Let. That. Sink. In.",05/02/2024 05:53 PM,False,316,36,53
8,That Martini Guy,"550,000 FOLLOWERS  THANKYOU 🙏",05/02/2024 05:00 PM,False,231,20,74
9,That Martini Guy,"$ELAND RWA token caught my eye  Currently sellers appear to be losing momentum, with the price consolidating around the 0.09 support level. ATH was 0.44, so I anticipate the next surge to rally it back above 0.2  @EtherLandID takes a unique approach to the #RWA space compared to other projects.  Their focus is on document management, aiming to enhance current real estate practices through blockchain technology.  👉https://dexscreener.com/ethereum/0x8119c00d8a02c61f813675d23d5acb98851cf274",05/02/2024 12:02 PM,False,80,42,60
10,That Martini Guy,"If #Bitcoin doesn't reach $80,000 by July 30th, I will give $2,500 to one lucky follower! 👀🚀  LIKE ❤️ & FOLLOW 💎 TO ENTER!!!",05/02/2024 11:41 AM,False,867,159,227
11,That Martini Guy,$10K to $1M going great  $AXL IS FLYING 🚀,05/02/2024 11:12 AM,False,96,15,69
12,That Martini Guy,"Holding a 100x is one of the most difficult things anybody can do in crypto  The amount of belief & patience required is unmeasurable  “You got lucky”  No, I didn’t. I held through hell.",05/02/2024 05:42 AM,False,672,80,212
13,CryptoSavingExpert ®,#BlackRock’s BUIDL becomes largest tokenised treasury fund 💸📈👩‍💼  Click below to find out more ⬇️⬇️⬇️  https://cryptosavingexpert.com/story/blackrocks-buidl-becomes-largest-tokenised-treasury-fund,05/01/2024 03:28 PM,True,27,8,20
14,CryptoSavingExpert ®,#Coinbase completes the integration of Lightning Network ⚡️✅  Will you use it? 🤔📲  Click below for the full story 👇👇👇  https://cryptosavingexpert.com/story/coinbase-completes-the-integration-of-lightning-network,05/01/2024 06:01 PM,True,24,3,17
15,CryptoSavingExpert ®,Open interest drops significantly amid #crypto crash 💥📊  Have you been #trading this week? 📈📉  Click below for the full report ⬇️⬇️⬇️  https://cryptosavingexpert.com/story/open-interest-drops-significantly-amid-crypto-crash,05/01/2024 08:11 PM,True,18,7,15
16,SYNTHR - Public testnet,Zealy XP will soon have a multiplier of◼️ in syCREDITS calculation 👀 #DeFi #SYNTHR #ZealyQuest,04/29/2024 03:57 PM,True,1334,1107,1052
17,That Martini Guy,"USE PHEMEX & GET UP TO $8,000 IN BONUS  No KYC $50,000 Use from anywhere Big liquidity  I use Phemex as my main exchange and they have been a great partner to my race team this year!  Unlock VIP benefits easily & make the most of this volatility! 👇  https://phemex.com/a/TMGBTC",05/02/2024 04:50 AM,False,49,11,60
18,That Martini Guy,"Things are going better for @wardenprotocol  YieldWard is bringing the heat with its innovative features.   They burned a ton of $WARP  FDV down to just $1.4M, potentially a good play.",05/02/2024 04:35 AM,False,31,7,47
