,username,text,date,is-retweet,likes,retweets,comments
0,Charlie Lee Ⓜ️🕸️,"As we are approaching the 10th anniversary of Litecoin, I figured it's a good time to do a long Twitter 🧵 on the history of Litecoin from my perspective.  My memory of events can be hazy at times, so for those mentioned, feel free to add or correct anything I say. Here goes...",10/07/2021 05:03 PM,False,5798,2404,1
1,Litecoin Foundation ⚡️,"⏳ JUST 8️⃣4️⃣ days till #LitecoinSummit2024 🤠 Where: #Nashville Tennessee  When: July 24-25, 2024  #Litecoin $LTC #MayDay #WednesdayMotivation 👇👇👇👇🎫👇👇👇👇 https://www.litecoin.net/summit",05/01/2024 03:54 PM,True,157,58,17
2,Litecoin,#Runes are now activated on Litecoin  ᛚᛁᛏᛖᚳᚩᛁᚾ ᚱᚢᚾᛖᛋ #LTCRunes,04/28/2024 07:53 PM,True,1013,261,86
3,Litecoin,ICYMI: $LTC is the #️⃣1⃣ #crypto for payments!!   In fact it has for the last FIVE months. Completing hundreds of thousands of transactions for real world goods and services all over the world.  More active than ever. #Litecoin ⚡️,04/27/2024 04:29 PM,True,538,173,43
4,Litecoin Foundation ⚡️,Innovation on #Litecoin continues! Runes are a new fungible token standard building off the #Ordinals protocol. #LTCRunes #Runes,04/27/2024 04:12 PM,True,124,26,12
5,Vlad says you should listen to Bitcoin Takeover,S15 E34: Charlie Lee on Privacy & MWEB https://nitter.net/i/broadcasts/1MYxNoqmmynKw,04/25/2024 09:21 PM,True,141,79,8
6,Vlad says you should listen to Bitcoin Takeover,Will go live with @SatoshiLite to talk about Bitcoin privacy and how MWEB (Mimble Wimble Extension Block) might provide a good solution.,04/25/2024 08:59 PM,True,103,18,10
7,Frank Chaparro,Thinking about Litecoin V2,04/19/2024 11:21 PM,True,540,105,75
8,Litecoin,Want to understand the #Halving?  Check out this step by step video on #Litecoin's halving.  https://piped.video/watch?v=62Nh_zlcupQ,04/19/2024 02:00 PM,True,361,98,30
9,David Burkett Ⓜ️🕸,"@TheVladCostea's recent interview with @SatoshiLite has triggered the ""MW privacy is broken"" battle cries again. It's not true. MW has always provided exactly the privacy guarantees we early MW devs promised. Here, I briefly explain its strengths & weaknesses for the 87th time🙂",04/18/2024 12:49 AM,True,139,53,9
10,Litecoin Foundation ⚡️,Crypto payment processor @Coingate just reported their Q1 most popular cryptos; with Litecoin coming in strong with 12% of payments!   Really interesting since Litecoin has a 39.7% increase last year in the number of payments made in $LTC!   More and more people are choosing to #PaywithLitecoin ⚡️,04/17/2024 06:44 PM,True,174,41,15
11,Litecoin,Litecoin usage on @Binance Pay grew significantly in the last couple years!!   Data from #Binance shows: $LTC grew  > 130% in Transaction Count & > 65% in Transaction Volume  on #BinancePay year over year!!  A testament of Litecoin's global use in payments and that more people than ever #PaywithLitecoin⚡️,04/16/2024 05:28 PM,True,516,159,28
12,Litecoin Foundation ⚡️,⏳ JUST 💯 days till #LitecoinSummit2024 🤠  Get your tickets today! #Nashville July 24-25! 👇👇 #Litecoin #sundayvibes 👇👇https://www.litecoin.net/summit,04/14/2024 03:56 PM,True,160,50,20
13,Blockchain Life 2024 Forum,"Digital Payments Processing Between Web2 and Web3 Worlds  The intersection of digital payments processing between #Web2 and #Web3 worlds in our insightful panel discussion. Join industry experts as they delve into the evolving landscape of #digital transactions, examining the challenges, opportunities, and emerging trends shaping the future of finance.   Discover how Web3 innovations are revolutionizing payment processing and bridging the gap between traditional and #decentralized systems.  ⚡️ Among the panelists are @TheRealXinxi from @LTCFoundation, @jesshoulgrave from @WalletConnect, @marcelharmann from @THORWalletDEX, @ernestocontrer from @Dashpay, and @sergiubiris from @MultiversX and @xPortalApp.  The moderator is Daria Krasnova – Editor of @beincrypto.  🗓️ April 15, 16:50 📍Main Stage by Uminers   🎟️ Buy tickets to the Crypto Event of the Year: https://blockchain-life.com/asia/en/#tickets-row",03/27/2024 09:31 PM,True,91,30,7
14,Vlad says you should listen to Bitcoin Takeover,Link to livestream:  https://piped.video/live/KMlMQD0InGg?feature=share,04/11/2024 06:35 PM,True,66,29,2
15,Litecoin Foundation ⚡️,"🎙️@TheVladCostea interview with @SatoshiLite  📆Thursday, 2:30 PT - 11:30 CET 📍YouTube https://piped.video/KMlMQD0InGg",04/11/2024 06:00 PM,True,96,20,7
16,Litecoin,"BREAKING: #Litecoin $LTC is still the #️⃣1⃣ #crypto for payments!! In fact it has been all year, by far the leader with over 39% choosing to #PayWithLITECOIN on the world's leading crypto payment processor @Bitpay!!!",04/11/2024 04:03 PM,True,814,242,63
17,Vlad says you should listen to Bitcoin Takeover,"Guys, Charlie couldn't make it today and rescheduled for tomorrow at the same time.   Sorry for keeping you waiting and thank you for showing interest – hope I'll see you again tomorrow!  So the new time is on Thursday, 2:30 PT/11:30 CET.",04/10/2024 09:37 PM,True,73,18,8
18,Vlad says you should listen to Bitcoin Takeover,"Will interview @SatoshiLite this Wednesday, 2:30 PT/11:30 PM CET  The main topic: in a world where the Lightning Network exists on Bitcoin, why does Litecoin still thrive and process daily payments adding up to more than the 4500 BTC locked in LN?  We’ll also talk about merged mining, extension blocks, privacy & covenants.",04/09/2024 08:11 AM,True,211,63,32
19,Litecoin,"BREAKING: Moon time is being standardized as ""LTC""!   NASA has been tasked with establishing a new time standard for the MOON, aptly called Coordinated Lunar Time (LTC). #Litecoin ⚡️ $LTC",04/05/2024 05:42 PM,True,796,229,59
