,username,text,date,is-retweet,likes,retweets,comments
0,Mayne,Remember all those ppl telling you to join their friend.tech cause of all the sweet alpha they were gonna drop and how they were gonna share their points airdrop with you.,05/03/2024 05:05 AM,False,236,11,30
1,Mayne,Got some solid fills.  First major trouble area is around the $62k region.,05/03/2024 03:05 AM,False,106,6,12
2,The Haven,"Krillin explains how slight adjustments in how you execute, can equal more overall R.  @LSDinmycoffee 🔥",05/02/2024 01:35 PM,True,115,10,0
3,Breakout,"This article offers more information on the unique benefits of prop trading, and also discusses why prop trading is especially suitable for a market like crypto.  https://www.breakoutprop.com/article/prop-crypto/",05/02/2024 09:35 AM,True,23,4,15
4,Mayne,It's the same picture,05/02/2024 05:41 PM,False,178,2,34
5,Mayne,"And on the 6th God said ""let there be neck.""",05/02/2024 05:25 PM,False,267,3,55
6,Breakout,"Now available for trading:   $BRETT $LAI  Imagine trading CAD/JPY during some news release when you can sling some shitters with a $100,000 account instead.",05/02/2024 02:06 PM,True,29,6,10
7,Mayne,,05/02/2024 02:41 AM,False,194,16,17
8,Mayne,"Nibbled some $BTC, $ETH, $SOL.  Only spot.   Willing to hold drawdown, and willing to add lower.",05/01/2024 04:32 PM,False,506,24,62
9,Mayne,How the fuck did I write long range 2x,05/01/2024 07:24 AM,False,79,2,17
10,Mayne,Two month long range long range breaking to the downside.   Either wait for a reclaim or expansion lower into support.   Knife catching is hard and you probably aren’t as good at it as you think you are.,05/01/2024 07:21 AM,False,503,25,47
11,Mayne,My altcoins,05/01/2024 07:09 AM,False,459,27,48
12,Rollbit,"The RLB Migration Deadline is Approaching🚨  For detailed migration instructions, please refer to our blog post: https://blog.rollbit.com/rlb-eth-migration  5 more hours to go....",05/01/2024 07:00 AM,True,54,14,11
13,Mayne,Nothing like a little playoff action.   Let’s go Canucks!,05/01/2024 02:25 AM,False,157,1,21
14,Breakout,"Welcome to the Breakout blog!  We’ll be sharing articles on prop trading, strategies, trader interviews, and more.  This article is a beginners' guide to prop trading, the evaluation process, and the benefits of trading with a prop firm.  https://www.breakoutprop.com/article/crypto-prop-trading-firm/",04/30/2024 01:45 PM,True,28,5,3
15,Mayne,CZ gets 4 months and a $4 billion dollar fine.   April is the 4th month of the year.  The year is Two Thousand Twenty FOUR.  I have $4 left to my name.  The simulation is real.,04/30/2024 07:30 PM,False,3486,254,207
16,Mayne,Bro knew all along,04/30/2024 07:05 PM,False,712,52,35
17,Breakout,"Join our Discord for exclusive benefits, ranging from discounts to live trading, and more.  Maybe you’ll get to see @Tradermayne revenge trading his account after getting stopped on $ETH today 🤭  discord.gg/Breakout",04/30/2024 04:18 PM,True,32,8,2
18,Mayne,$ETH  I will never financially recover from this.,04/30/2024 03:56 PM,False,302,3,34
19,Mayne,So was $ETHBTC bullish or was $BTC just super weak?,04/29/2024 11:08 PM,False,167,9,34
20,Mayne,We are 1/3rd of the way thru 2024.   It's basically already 2025.   You are running out of time.   You need to lock in.,04/29/2024 10:37 PM,False,714,32,64
21,Mayne,Bro is getting paid to make fun of me.   Best job in the world.,04/29/2024 08:43 PM,False,169,7,24
22,Breakout,"Even in choppy conditions, Breakout traders have been making the most of their $100,000 accounts.  Last week this trader longed $POPCAT before the breakout and closed for a $5,150 gain.  Unlike @Tradermayne, some traders can actually hold their long entries 🫡",04/29/2024 08:40 PM,True,106,13,22
23,Mayne,$ETH  2 gray boxes to double the probability of bouncing.   Worth a punt for me.,04/29/2024 07:44 PM,False,216,8,36
24,Mayne,The cycle ain't over.   I haven't bought a new watch yet.,04/29/2024 04:46 PM,False,589,17,69
25,Mayne,Hahahaha,04/29/2024 04:59 AM,False,145,3,18
26,Mayne,Imagine Mike Tyson pronouncing “piss”,04/29/2024 03:17 AM,False,491,11,56
27,Mayne,Need a Canadian team to win the cup this year pls.,04/29/2024 03:08 AM,False,85,2,33
28,Mayne,???,04/29/2024 02:29 AM,False,215,6,57
29,Mayne,Playoff hockey is so elite man.,04/28/2024 11:33 PM,False,191,11,43
30,Mayne,Sunday project complete.   Plumber mayne.   If you do not have a bidet please do not speak to me.   You are unclean.,04/28/2024 10:42 PM,False,997,17,139
31,Mayne,Can’t believe I closed the intergalactic interstellar generational bottom on $ETH.,04/28/2024 05:18 PM,False,411,8,56
32,sumfattytuna 🤠,"@Tradermayne said on his stream yesterday, there are 2 scenarios  Both bullish and end in new ATH",04/27/2024 01:39 PM,True,55,7,9
33,Aero,"@Tradermayne and @CredibleCrypto put literally everything out there in detail  for FREE on Twitter and YouTube, and they’re both incredible at their craft.   You don’t need to spend money on courses, subscriptions, etc - you just need to pay attention and you’ll find the right people to learn from.  Thanks to Mayne , I don’t look at blocks or necks the same way anymore.",04/28/2024 01:09 AM,True,99,7,13
34,Mayne,Closed at the bottom like a true champion.   $ETH.,04/27/2024 06:04 PM,False,431,14,56
35,The Haven,Quick 12% squeeze captured by @CryptoUB  to end the week🔥,04/26/2024 01:31 PM,True,49,12,0
36,Mayne,Condensed stream is up!   https://piped.video/Cl2E5fKRTMc?si=cio-1C9rWvSeCiK6,04/27/2024 04:16 AM,False,104,13,19
37,"smolting (wassie, verse)",.,04/27/2024 01:30 AM,True,293,18,30
38,Mayne,My message to the market makers right now.   Give us volatility or,04/26/2024 08:46 PM,False,299,21,33
39,Mayne,I'm about to go Susan Warren on this man.,04/26/2024 06:33 PM,False,99,1,23
40,Breakout,"Hey, intern here.  Tried to schedule a call with you but you were too busy getting scammed in Bali, attacked by Australian wildlife, and then drowning in Dubai.  Hope your totally well-deserved 2-month holiday was fun!   Any more TikToks coming soon? Not long until you’re 34 :).",04/26/2024 06:28 PM,True,118,5,21
41,Breakout,Now available for trading:  $SAGA $MERL $FOXY  Breakout offers over 90 crypto symbols available for trading 24/7.  We are the #1 crypto prop firm for total crypto listings available and keeping up to date with the newest assets.,04/26/2024 05:49 PM,True,41,8,9
42,Mayne,$SPX into big support.  $DXY into big resistance.,04/26/2024 04:40 PM,False,342,25,41
43,Mayne,Back from Vacation and back in the trenches.   Let's get it.   Livestream starting in 30 mins.   https://piped.video/live/7gfH3Ou5ETc?feature=share,04/25/2024 09:29 PM,True,161,8,32
44,Mayne,You will own nothing and be smelly.   But you will be happy.,04/26/2024 03:28 PM,True,412,17,48
45,Mayne,This podcast is when all the Neck memes started.   Someone in the chat asked if my Neck could be used as collateral.,04/26/2024 03:38 PM,False,289,4,33
46,Mayne,Don't forget to migrate.,04/26/2024 03:37 PM,False,45,4,23
47,intern ⨀,you would easily last 2+ hours every thursday in the asylum where they raised me,04/26/2024 12:56 PM,True,582,25,57
48,Mayne,A wild PD array appears.,04/26/2024 01:42 AM,False,278,6,35
49,Mayne,,04/25/2024 06:54 PM,True,243,7,81
50,Cameron Fous,"What Would you do if you lost $3,000,000 On FTX?   Find out from someone who experienced it and still thrived through the markets.   Tune in 6pm EST For Episode 1 Of the Wolf Principles Podcast with @Tradermayne",04/25/2024 01:10 PM,True,125,13,17
51,Mayne,"Orderblock curled up at my feet.   3 monitors blasting me with blue light.   Weather outside fkn miserable, cold and raining.   Good to be home.",04/25/2024 03:51 PM,False,367,7,37
52,Mayne,"$GALA  Dip buys pretty dialed on this one.   This could be a bearish retest, confirmation of strength above 0.054 is the goal.",04/25/2024 03:39 PM,False,23,0,2
53,Breakout,Our hairless cofounder @Tradermayne was kind enough to put together a short video on altcoin selection for trading.  We have almost 90 crypto symbols available on Breakout - the most of any prop firm.  Trade with Breakout (at least so this grown man can stop making TikToks).,04/25/2024 03:29 PM,True,66,7,13
54,Mayne,$BTC  Got the SFP,04/25/2024 12:14 AM,False,160,7,29
55,Mayne,This jet lag is fucking me up.,04/24/2024 10:46 PM,False,121,2,40
56,The Haven,"""...Before you can do other skills, you need to pick what you're good at first and do that.""   @LomahCrypto 🔥",04/24/2024 12:18 PM,True,168,12,0
57,Mayne,"Bro the 25% on unrealized is WAY crazier than the rate hike.   Maybe an accountant can jump in here.  If you are a doctor/dentist/lawyer etc with a private practice that you plan to sell when you retire, does this rate hike affect the sale of the biz or is that under LCGE?",04/24/2024 07:26 PM,False,868,40,174
58,Mayne,$DXY  Remains a key zone here.  Crypto bulls want a rejection back into the range.,04/24/2024 07:07 PM,False,75,2,8
59,Mayne,$BTC  Would like to see the bulls close this H12 candle as an SFP.,04/24/2024 07:06 PM,False,313,15,39
60,Mayne,Finally back at the PC for the 1st time in over 5 weeks.   Going from doing everything on my phone to having 3 monitors again is crazy.   I should be able to lose money 3x as fast now.,04/24/2024 02:58 PM,False,658,14,90
61,The Watch King,TA has been excellent thank you @Tradermayne,04/23/2024 09:22 PM,True,128,6,23
62,Mayne,Orderblock learned how to hunt while I was away.,04/23/2024 09:15 PM,False,393,14,79
63,Mayne,Final leg of the trip home.   Amazing to see so many familiar and new faces.   Congrats to the @CryptoFightWeek team for putting on another fantastic event.   5-weeks is a long time to be away.   Looking forward to catching up on everything this week on stream.,04/23/2024 09:50 AM,False,159,10,49
64,Breakout,"We have never denied a payout.   We have never manually breached a funded account.  No hidden rules. No tricks.  If you’re a good trader, you’ll thrive at Breakout.",04/23/2024 09:21 AM,True,71,10,25
65,Mayne,I win,04/23/2024 03:03 AM,False,900,32,69
66,Breakout,"Now available for trading:   $OMNI $TNSR  Breakout is the #1 prop firm for listing the most relevant, newest assets with the best available centralized exchange liquidity.   We’re up to almost 90 crypto symbols trading 24/7.",04/22/2024 03:30 PM,True,33,3,15
67,Mayne,Me seeing @inversebrah in the comments after I thought I made a cool post.,04/22/2024 01:49 PM,False,338,11,36
68,Mayne,Ayo!,04/22/2024 12:38 PM,False,285,4,35
69,Mayne,Audi R8s are known for their incredible off road capabilities.,04/22/2024 12:08 PM,False,817,11,128
70,Breakout,"With Breakout, your trading losses are limited.  At most you lose what you paid for the evaluation - nothing more.   On your personal account, there’s always a risk of trading tilted and wiping your portfolio.   Not with Breakout - no custody of assets, no portfolio risk.",04/22/2024 11:56 AM,True,59,7,14
71,Mayne,"He’s discovered DXY.   Honestly KSI is going thru a typical 2nd cycle experience.   Got burnt hard being bullish into and after the top in cycle 1.   Cycle 2 he’s starting to figure things out, calls in both directions, getting some things right. But ultimately overly bearish because he doesn’t want to repeat cycle 1 mistakes.   Don’t worry bro, the 3rd cycle is where you make it.",04/22/2024 08:29 AM,False,1290,50,80
72,Mayne,Gm to bulls only.,04/22/2024 07:37 AM,False,270,10,72
73,Mayne,Great time in Dubai with the boys.,04/21/2024 08:43 PM,False,753,17,73
74,Mayne,Retire?   You can’t even afford a super car with $30m.,04/21/2024 07:31 PM,False,355,5,57
