,username,text,date,is-retweet,likes,retweets,comments
0,WhalePanda,"A thread on moving abroad (in my case Dubai)  2.5 years ago I moved to Dubai with my wife and 2 kids and it was one of the best decisions I've made in my life.  Some personal context:  I was born and raised in Belgium, the center of Europe. I always lived close to my parents who came over very often to visit the kids. I never had the intention of moving to another country. I did travel a lot and I've met many of you around the globe.  Then with the Covid hysteria and lockdowns I actually felt more and more how insane the policies in the West were. I was paying 50% income tax + 21% VAT on everything and meanwhile I saw the quality of life deteriorate rapidly.  My son was going to kindergarten/FS2 (depending on your school system) and the quality of education was horrible. Private schools aren't really a thing in Belgium, you have a handful in the 2 major cities (Antwerp and Brussels) but these are the exception and 95% of the students are from expats. Belgium's public education system used to be top notch, growing up I always felt that for me it worked great. But when my son went to school, he wasn't challenged, everything went at the pace of the slowest kids. He was bored in school and I felt I was letting him down.  At the time we were living in a small village (10k people) in a nice house with a huge garden, I loved that house. It was at the end of a cul de sac and no one ever came there. Then in 12 months time we had 2 burglaries in 2 different houses in the street. For the first one our house was actually the main target, however we got lucky since I accidentally left the lights on everywhere. On the cameras I installed I saw them jump over our 2 meter (6.5 feet) fence, walk to the house, check inside and jump back over the fence. Since then we didn't really feel that safe anymore. The 2nd burgarly was during the day and they broke in to a house where they had 2 guard dogs and only ran away when the owners came home. They were never caught, the police didn't do much.  The combination of covid hysteria, bad education, safety concerns and high taxation while not getting anything in return made me actively start looking for alternatives.",04/16/2024 10:35 AM,False,880,102,100
1,WhalePanda,"Yesterday's ETF flows by @FarsideUK   The ETF flows were slightly negative and when it's slightly negative you know that it's always just $GBTC that has outflows. $54.9 million.  Ark took in 13.3 million and the rest stayed at 0 or close to 0.  Price recovered from $56.5k back to $60k.  Yesterday the official inflow numbers for the Hong Kong ETFs came out and they have $248 million under management. One thing to note here is that HK ETFs allow in kind contribution, so rather than always having to buy from the market, you can actually deposit BTC with them directly.  BNP Paribas also invested in the Blackrock ETF, although this was just $40k, the headlines are good for exposure.",05/03/2024 03:57 AM,True,125,8,10
2,WhalePanda,"Voted for by people that haven't been to Paris or London in the last 10 years.  Horrible, urine smelling, unsafe places.",05/02/2024 06:03 PM,False,95,3,21
3,WhalePanda,So despite low volume Hong Kong Bitcoin ETFs did take in $248 million combined.,05/02/2024 03:51 PM,False,126,8,8
4,WhalePanda,"Yesterday's ETF flows were extremely negative. We had $563.7 million of outflows.  $GBTC had $167.4 million, Fidelity $191.1 million, Ark $98.1 million  Blackrock had its first negative day with $36.9 million.  After the price went down from $61k to $56k this isn't a surprise since panic is everywhere. The flywheel works both to the upside and downside so important now will be US trading session today and on Monday.  On the positive side Tether announced $4 billion in profit in Q1 of which $1 billion was net profit. They will buy Bitcoin for 15% of their profits so around $150 million.  FOMC was a little big more positive than expected, price initially reacted well but then fully retraced. They reduced the QT.  Most people seem to expect to Bitcoin now first to go to $52k.  Source: @FarsideUK",05/02/2024 03:56 AM,True,404,52,44
5,WhalePanda,Me justifying why I didn't sell the top last bull market.,05/02/2024 12:48 PM,False,214,14,17
6,WhalePanda,This seems quite an important move:  (I got my account closed 8 years ago by BNP Paribas for sending money to Bitcoin exchanges though),05/02/2024 11:58 AM,False,250,20,14
7,WhalePanda,"Hong Kong Bitcoin ETF did $8.3 million of volume compared to $8.8 million in volume on Tuesday. Yesterday was a public holiday, at least the volume seems consistent. ETH ETF did $600k in volume.  https://nitter.net/pivfund2100/status/1785945701492703376  My previous tweet was wrong. My kids being home from school made me get the date wrong lol.",05/02/2024 10:31 AM,False,74,4,5
8,WhalePanda,After checking all price predictions on Twitter I can safely say that we are near the bottom  or we go to 52k or we go to 40k. So tldr; we either go up or down.,05/01/2024 05:01 PM,False,166,19,26
9,WhalePanda,I bet everyone that still dumps Bitcoin at these prices votes for Biden.,05/01/2024 03:32 PM,False,295,17,33
