,username,text,date,is-retweet,likes,retweets,comments
0,cevo,The mother of all threads,04/06/2024 07:47 PM,False,1179,300,110
1,Ansem 🐂🀄️,be greedy when others are fearful  be greedier when people are saying crypto solves no problems  be greediest when people are saying the cycle top is in,05/02/2024 09:34 PM,True,854,73,104
2,The Silver Ape,"When I told them that sub 4$ is a generational entry, they laughed. Shortly afterward, we went to 20$. We have another such opportunity for $BAI / $wBAI. It is severely undervalued at 20m MC. Strong team, Mainnet coming soon. AI agents narrative will come back strong.",05/03/2024 06:40 AM,True,52,6,21
3,RVCrypto,If there is one project that I seem to love doing updates on it's $ATOR.  And for good reason.  Constant updates and developments.  An update thread on @atorprotocol 🧵🧵,05/02/2024 05:44 PM,True,196,49,27
4,doc🃏,We follow the current thing. We dont think. We are sheep. We ape.  We are the $NPC army.   You cant defeat us.,05/02/2024 01:06 PM,True,319,65,42
5,Daan Crypto Trades,"Cycles, Corrections and Price Action 📚  Each cycle tends do trade in its own specific way. Each has their own types of corrections and price action.  Here's the ones I was a part of and how they traded 👇",05/02/2024 12:02 PM,True,266,39,23
6,cevo,Buy in May and go away,04/30/2024 11:03 AM,True,1987,199,188
7,Cred,$BTC,05/02/2024 09:19 AM,True,2070,189,172
8,cevo,If I wasn’t exposed enough I would be bidding like crazy rn,05/01/2024 11:59 AM,False,1022,64,81
9,cevo,I’m actually more bullish now,05/01/2024 09:10 AM,False,451,25,38
10,cevo,"I lost over 5m in the last few months and I was playing fifa yesterday with friends like nothing happened. I was also like this when I had nothing, my portfolio went down for years when I was new. Change your mindset and stick to your plan. Never give up",05/01/2024 09:10 AM,False,2485,171,141
11,cevo,Imagine btc making new ath first and giving us more time to accumulate after. Whatever you do now is going to identify the trend of your portfolio for the next few months/years. Use this opportunity wisely,05/01/2024 09:01 AM,False,614,26,58
12,cevo,"I’m sorry that I can’t time every bottom or tops. If I’m bullish and it goes down, it means I’m also losing money like all of you. But I’m good (I think) at identifying trends and the top of this bull market is not in. When I get out I’ll make sure you all know it",05/01/2024 08:51 AM,False,1184,49,74
13,cevo,"Remember who was bullish before and is bearish here. Don’t unfollow, don’t talk shit to them. Just don’t forget",05/01/2024 08:44 AM,False,792,38,66
14,cevo,"If we had a straight line up, the bull market would end faster than we expect. Going to low 50s and build a strong support from there will be v bullish tho. This just gives us more time to accumulate our longterm positions.   I’m not bearish. When I turn bearish, you won’t see me buying the dip after 10% retrace. Will take a long vacation after. I focus on trends and that is up for over a year now. Not planning to change my strategy. Keep accumulating fundamental strong projects",04/02/2024 10:22 AM,True,1044,66,93
15,cevo,Gm,04/30/2024 09:04 AM,False,1563,109,143
16,Muro,Looks like a bullish 20K candle is coming soon and f*cking all bears without mercy,04/29/2024 09:15 PM,True,1190,93,107
17,ZachXBT,1/ How Lazarus Group laundered $200M from 25+ crypto hacks to fiat from 2020 - 2023  https://zachxbt.mirror.xyz/B0-UJtxN41cJhpPtKv0v2LZ8u-0PwZ4ecMPEdX4l8vE,04/29/2024 01:19 PM,True,8543,1934,613
18,Chimp of the North,One of the very few projects that is up right now is $CBY.   It happens to be the project that adds the most amount of real world value that I know of so I'm glad it's getting more attention 🌴  Long term investment of mine!,04/29/2024 12:03 PM,True,83,24,12
19,cevo,"Because every trader made an investment once, didn’t work out and decided to be play this more safely. They want to have a better control on their portfolio and take actions faster than everyone else. Better investors knows we can’t control the trend which is up for  a long time now and I don’t see this changing unless ww3 breaks out. But like I said before, money won’t be our problem if that happens.  Invest wisely in several narratives (depends on the size of portfolio), follow the progress of the project/team and just wait.",04/29/2024 08:55 AM,False,288,25,45
