,username,text,date,is-retweet,likes,retweets,comments
0,CZ 🔶 BNB,"My next project. @GiggleAcademy (No logo yet)  Free basic (grade 1-12 ish) education, for all. No revenue. Gamified. Adaptive.  Read the Concept Paper at giggleacademy.com  We are HIRING. Small team, work directly with CZ.",03/19/2024 12:05 AM,False,42117,14464,8354
1,CZ 🔶 BNB,"I would like to thank everyone for your care and support, be it writing letters, showing support on X, or in any other form. They all mean a lot to me and keep me strong. I will do my time, conclude this phase and focus on the next chapter of my life (education).  I will remain a passive investor (and holder) in crypto. Our industry has entered a new phase. Compliance is super important.  A silver lining of this whole process is that Binance has been under the microscope. And funds are SAFU.  Protect users!",05/01/2024 12:25 AM,False,72087,10005,11194
2,CZ 🔶 BNB,"We wanted the @GiggleAcademy logo to show youth, fun, positive energy, and growth. We also want to show respect to our “Binance heritage”.  1. The logo is a child’s face, symbolizing youth. 2. The smiling face is made of the “Gi” characters (rotated 90 degrees counterclockwise), as in “Gi”ggle. 3. The curved “i” is a wink. Fun and playful. 4. The G is a tongue sticking out from the mouth, inspired by the emoji 😋.  5. The outline of the face can be a sunflower, symbolizing livelihood and fast growth. 6. The outline of the face is two overlapping squares. Once you see it, it is hard to unsee it. This is to show our respect to our “Binance heritage”, whose logo is more squarely. 7. The color is yellow and black, also owing to our “Binance heritage”. Although, the yellow is a light yellow, more playful. 8. The outline of the face can also look like the sun, especially with the lighter yellow, symbolizing positive energy, for growth globally.",04/24/2024 03:55 AM,False,13273,8625,1143
3,CZ 🔶 BNB,Finally settled on the logo for @GiggleAcademy.  What can you see in this logo?,04/24/2024 02:58 AM,False,13617,8281,1274
4,CZ 🔶 BNB,"btw, we moved the goal post a little bit again since a few weeks ago. We are starting at a much earlier age now, 2-3 year olds.   Start at the beginning, instead of somewhere in the ""middle"", and hopefully keep growing with our community, for 18 (or more) years...  Initially, our dev capacity may lag behind a bit, but we intend to catch up once we get to the scaling phase.",04/18/2024 03:36 PM,False,10521,8073,633
5,CZ 🔶 BNB,"From another work stream, one more WIP (work in progress) screen snippet.  AI voice recognition / rating for kids to speak back.  Still many little problems to fix, make the ears bigger, the rolling eyes, the Chinese on screen, etc. But you get the idea...  Build!",04/18/2024 03:00 PM,False,3779,471,609
6,CZ 🔶 BNB,Also includes hiring. We only started a month ago.,04/18/2024 12:19 AM,False,1899,156,199
7,CZ 🔶 BNB,"Took a while, but finally got one lesson going, in an installable Apk. This is a screen recording of the App from my phone. (The poor video cutting also done by me😂. There was audio, but the cutting made it sound weird.)  This is a ""testnet"" lesson. We are still changing quite a bit of it. Don't read too much into it. This version is mainly for me to confirm that we got a complete team that can actually produce something.   This involved a lot more than what meets the eye. We had to design the characters, the content, make animations, make audio, use a game engine, and a whole bunch of developers. 😂   Will find a way to streamline the process going forward. Keep building.",04/18/2024 12:00 AM,False,5892,757,926
8,CZ 🔶 BNB,EID Mubarak 🌙,04/11/2024 02:39 AM,False,6448,695,913
9,CZ 🔶 BNB,"""making progress"", but not all linear. 😂 Also true, we are ""struggling"" to make the first lesson. Lots of debates on what it should look like, what gaming engine to use, features, animation, interactions to include, or not. Start up mode all over again. Like good old times.",04/11/2024 01:30 AM,False,4395,575,822
10,Binance,Please sign this petition and share it widely to #BringTigranHome!  https://www.change.org/p/help-bring-former-us-federal-agent-tigran-gambaryan-home-from-unjust-detention-in-nigeria,04/04/2024 10:15 AM,True,13977,11036,3690
11,CZ 🔶 BNB,was a while ago.,04/01/2024 08:31 PM,False,2835,295,788
12,CZ 🔶 BNB,my birthday,04/01/2024 08:30 PM,False,23773,1717,6088
13,CZ 🔶 BNB,"Some updates on @GiggleAcademy.  We got a team of 10 now. Some part time, some full time. All remote. We have calls together 3 times a week, in addition to adhoc smaller chats.   Hiring is on-going. I do a dozen interviews a week. We are targeting a 15 people team initially.  We finalized the content for the first phonics (English) lesson, and are working on producing it.   We made some adjustments along the way.  We are not making a web version first. We will make an Android version first. Several reasons. In our target market, Android is probably the first device a household gets, before a laptop. Smart phones also have a touch screen, which is easier for kids to interact with. Also with push notifications.  Our first draft of characters is a bit too much like Tom and Jerry, so we are adjusting that. 🐁😸  I am talking to many people and trying many Ed apps. Learning a lot. A lot going on.  Keep building!",03/30/2024 06:27 PM,False,8087,1158,1759
14,CZ 🔶 BNB,"In non-English speaking countries, knowing English often doubles people's income. Read it somewhere.",03/27/2024 10:16 PM,False,8657,1049,1795
15,CZ 🔶 BNB,What are some of the best apps for kids (not adults) to learn English for the first time?,03/27/2024 09:54 PM,False,6694,737,2318
16,CZ 🔶 BNB,Thank you for your support! 🙏 Will keep building.,03/21/2024 03:21 AM,False,19917,1591,2668
17,CZ 🔶 BNB,We are looking for teacher(s) who can create digital content.,03/19/2024 02:41 AM,False,4694,508,1179
18,CZ 🔶 BNB,"Launching a new project. No, no new tokens. Education project. More details soon…",03/18/2024 05:43 PM,False,42298,5519,6894
19,Binance,Taiwan's Ministry of Interior named #Binance as the leading exchange for collaborating on law enforcement requests in Taiwan.  We're proud to support the region with our continuous efforts in combating crime worldwide.  Read more ⤵️,03/15/2024 03:21 PM,True,2670,524,724
20,CZ 🔶 BNB,Happy Women’s day!,03/08/2024 04:38 PM,False,15252,1357,2762
21,CZ 🔶 BNB,🤔,03/05/2024 12:03 AM,False,17208,2177,2890
22,CZ 🔶 BNB,Happy Valentine’s Day! ❤️,02/14/2024 09:25 PM,False,22017,2955,3858
23,CZ 🔶 BNB,新年快乐！ Happy Chinese New Year！,02/09/2024 04:43 AM,False,29716,3332,6043
24,CZ 🔶 BNB,Appreciate the support. But will try to stay off twitter for a while. 🙏,12/09/2023 12:29 AM,False,22918,4551,8143
25,CZ 🔶 BNB,"Learning again, by meeting founders.",12/06/2023 04:45 AM,False,16309,2868,4212
26,CZ 🔶 BNB,GM,12/03/2023 11:20 PM,False,17249,2091,5208
27,CZ 🔶 BNB,"I got a job in crypto 2 weeks later. Paid a bit less, but I didn't have to go to an office. 😂",12/03/2023 09:10 AM,False,7152,792,892
28,CZ 🔶 BNB,"10 years ago today, I quit my job, sold my house, and aped into #bitcoin.  No, I am not saying you should do the same. Many people asked, how could you take such risks? Me, I knew I could easily get a job... Everyone's risk profile is different. Learn risk management.",12/03/2023 08:46 AM,False,34885,5564,3647
29,CZ 🔶 BNB,What is a bitcoin ETF?  https://academy.binance.com/en/articles/bitcoin-etfs-explained,12/02/2023 09:04 PM,False,13494,3064,2464
30,Richard Teng,Pushing ahead with global partnerships and institutional adoption - introducing banking triparty agreement to help institutions manage counterparty risk   https://www.prnewswire.com/news-releases/binance-pilots-banking-triparty-agreement-to-help-institutional-investors-to-manage-counterparty-exposure-302002179.html,11/30/2023 04:12 PM,True,2960,908,791
31,CZ 🔶 BNB,"Apparently, calorie restriction is the number one longevity fix, exercises and sleep follows. Everything else is behind those, vitamins, supplements, special drugs, stem cells, etc.   Health is wealth. Diet time. My lunch👇. It’s so bad I only ate half of it. 😂",11/28/2023 05:15 PM,False,14329,2029,3834
