,username,text,date,is-retweet,likes,retweets,comments
0,Crypto Rover,THIS IS THE BIGGEST #BITCOIN TRAP I'VE EVER SEEN...  Watch ASAP:👇 https://piped.video/gYSmgIQvtho,05/03/2024 05:17 AM,False,169,16,86
1,Crypto Rover,Everyone is afraid.  The sentiment is horrible.  I'm bullish on #Bitcoin,05/03/2024 11:46 AM,False,59,1,23
2,Crypto Rover,We are still early to the next #Bitcoin bull cycle.,05/03/2024 11:11 AM,False,221,25,77
3,Crypto Rover,"$TABOO is already up more than 20% in a bleeding market! 🚀  Their newly live-streaming function is about to be released, and out of anticipation it is already start to pump! You can't ignore this!!  They also recently made a huge announcement that @taboo_io will commit a 7-FIGURE marketing campaign which will most likely catapult the price already higher!  All in all, its is super undervalued still here, and likely it is going to pop higher!",05/03/2024 10:52 AM,False,135,44,98
4,Crypto Rover,There is still 7 billion+ worth of #Bitcoin Short liquidations laying close above us.  The next short squeeze is imminent.,05/03/2024 10:36 AM,False,211,48,128
5,Crypto Rover,#Bitcoin is still creating a HUGE falling wedge! 🔥👇,05/03/2024 10:01 AM,False,379,39,102
6,Crypto Rover,"Claim a $200 #Bitcoin or #Ethereum Trade on Bybit!  How to claim: • Sign up a new account using the link below • Deposit $100 within 7 days • Open up your free trade  🔸 Link: https://bybit.com/en/airdrop-activity-new?campaign_id=7717&affiliate_id=16210  + You are also eligible for a $40,000 deposit bonus using this link.",05/03/2024 09:28 AM,False,142,5,104
7,Crypto Rover,The #Bitcoin Funding Rates are extremely negative!  BULLISH! 🚀,05/03/2024 08:55 AM,False,385,56,211
8,Crypto Rover,"What a week! @wardenprotocol just revealed their own bridge, powered by @axelarnetwork!   Exciting times ahead! 🚀",05/03/2024 08:48 AM,False,180,9,105
9,Crypto Rover,Any 20-23% #Bitcoin correction in this bull market is a GIFT! 👇,05/03/2024 08:20 AM,False,452,36,98
10,Crypto Rover,"There will be more than $2.65 billion dollar's worth of #Bitcoin Short liquidations once $BTC hits $67,400.",05/03/2024 07:45 AM,False,376,47,163
11,Crypto Rover,The last 6 trading days the spot #Bitcoin ETF has only seen outflows...,05/03/2024 07:09 AM,False,255,28,89
12,Crypto Rover,#Bitcoin is retesting the $60k level!  This is a super important level to break.,05/03/2024 06:34 AM,False,453,49,141
13,Crypto Rover,"I am long on #Bitcoin with $900,000.  I think the bottom is in, and most will get trapped here.",05/03/2024 05:52 AM,False,803,187,286
14,Crypto Rover,"I am long with $900,000 on #Bitcoin  Watch my pinned tweet to find out why!",05/03/2024 05:26 AM,False,315,19,174
15,Crypto Rover,"Yesterday, this man sold 622 #Bitcoin",05/02/2024 07:58 PM,False,1033,107,224
16,Crypto Rover,"You won't get this opportunity again for a long time...  #Bitcoin is likely bottomed, and most are selling now.",05/02/2024 07:24 PM,False,755,118,203
17,Crypto Rover,Any 20-23% correction in this #Bitcoin bull market is a gift.,05/02/2024 06:38 PM,False,591,89,159
18,Crypto Rover,Is this #Bitcoin rejection fatal for the bull market?...,05/02/2024 06:19 PM,False,500,53,140
19,Crypto Rover,$WUF just LAUNCHED on @Base!  And even more chains to come.  This is the first memecoin to going truly multichain!,05/02/2024 06:16 PM,False,407,59,73
20,Crypto Rover,"$10,000 profit now on my #Bitcoin long.  This is nothing yet, for what is about to come.",05/02/2024 06:05 PM,False,550,70,198
21,Crypto Rover,There is a $7b+ #Bitcoin short squeeze imminent.  All targets are discussed in my pinned tweet.,05/02/2024 05:52 PM,False,466,45,77
22,Crypto Rover,Don't be fooled.  The next #Bitcoin bull run has not even started yet.,05/02/2024 05:09 PM,False,936,133,159
23,Dypius,🚀 Over 71% of #DYP tokens have already migrated to the new DYP v2!   🌟 Join the new era of Dypius and unlock enhanced benefits and utility within our ecosystem. Don't miss out – migrate your tokens now!  💎 Migrate here: https://app.dypius.com/migration,05/02/2024 04:36 PM,True,158,24,23
24,Crypto Rover,"$GOOGLY cat is looking extremely bullish on BNBchain, it pumped 10x in less than 20 days🔥 Still sitting under a 1 million $ market cap. Looks like it’s going to send quite a few more X’s 🚀 Just got myself a bag. 1000$  🧾Chart: https://www.dextools.io/app/en/bnb/pair-explorer/0x66cf74b0afbb171e0f78bc95f9997d563088eb52?t=1714328877620  X @googlycatcoin and Tg: t.me/googlycat #googlycat #crypto #memecoinseason #googlycat #catcoin https://nitter.net/messages/media/1786066351758495990",05/02/2024 04:38 PM,False,305,81,95
25,Crypto Rover,"In 24 days, the Spot #Ethereum ETF final deadline is here!  Are you ready?",05/02/2024 04:26 PM,False,391,61,96
26,Crypto Rover,"#Bitcoin is going to $100,000.  #Ethereum is going to $10,000  All your alts will pump 100x  And all you need to do is not panic.",05/02/2024 03:50 PM,False,1694,238,298
27,Crypto Rover,"All the liquidity is laying above us!  #Bitcoin will go to $70k next.  I'm long with $900,000",05/02/2024 03:16 PM,False,832,100,129
28,Crypto Rover,The #Bitcoin sentiment is so bad.   That makes me extremely bullish!,05/02/2024 02:59 PM,False,604,67,150
29,Crypto Rover,"5/   All in all, the AI University takes education next level.  By using the technology, they are creating personalized learning journeys our commitment to leveraging artificial intelligence to personalize and enhance the learning journey.  https://edu3labs.com/ (test.ai.edu3labs.com)",05/02/2024 02:43 PM,False,73,2,6
30,Crypto Rover,"4/   The chart has been bleeding a lot, but I believe that we are in the final stage.  We are even below the first consolidation region, making this an interesting region to get your hands on $NFE.",05/02/2024 02:43 PM,False,79,2,4
31,Crypto Rover,3/   The listings also look good.  With 2 good CEX's the $NFE has enough room to probably explode in the next leg up.,05/02/2024 02:43 PM,False,79,21,1
32,Crypto Rover,"2/   And I've not even mentioned the best part, it is still massively undervalued at only $53m mc.  With the bull market coming, this ecosystem is ready to explode.",05/02/2024 02:43 PM,False,71,10,1
33,Crypto Rover,1/  The @Edu3Labs ecosystem is mind blowing.  1. AI University 2. Knowledge Contest 3. Edu3Games 4. NFE Course Marketplace 5. $NFE Token 6. Airdrop hunting tool  This is an ecosystem that is ready to explode.,05/02/2024 02:43 PM,False,80,20,3
34,Crypto Rover,"Learn-to-Earn is something that everyone wants.  Now, @Edu3Labs made this possible with their all-in-one incentivized learning product.  A thread about $NFE 🧵",05/02/2024 02:43 PM,False,295,39,43
35,Crypto Rover,"$DYP EXACTLY BOUNCED FROM MY SUPPORT!!  Now it is also breaking above the orange box, I think it will likely continue even further!  My target is above $0.30.  It is one of the strongest recovering #Altcoins in my portfolio!",05/02/2024 02:33 PM,False,239,56,70
36,Crypto Rover,#Bitcoin is flipping bearish on the weekly MACD! 😳,05/02/2024 01:48 PM,False,600,63,159
37,Crypto Rover,💥BREAKING: Yesterday we've seen the worst Spot #Bitcoin ETF flow since launch.,05/02/2024 01:10 PM,False,675,98,110
38,Crypto Rover,"I am currently long on #Bitcoin with $900,000.  The bottom is in.",05/02/2024 12:36 PM,False,1041,106,271
39,Crypto Rover,"Watch #Bitcoin pump to $70,000  Liquidity is all lying above us.  I’m have so much confidence in this trade.  I’m long with $900k 🚀🫡",05/02/2024 12:19 PM,False,734,89,126
40,Crypto Rover,I longed the #Bitcoin bottom.  $70k is next.  Most will get trapped here.,05/02/2024 11:59 AM,False,2327,343,372
41,Crypto Rover,"The worst time to quit #Bitcoin is after the halving.  Zoom out, once in doubt...",05/02/2024 11:56 AM,False,524,89,75
42,Crypto Rover,Once all the weak hands are out.  #Bitcoin will do this next👇,05/02/2024 11:22 AM,False,736,79,161
43,Crypto Rover,"What happens first for #Bitcoin?  $10,000                  $100,000 👇                                  👇",05/02/2024 10:45 AM,False,722,59,163
44,Crypto Rover,The #Bitcoin Weekly Timeframe is retesting critical support! 😳,05/02/2024 10:07 AM,False,513,62,116
45,Crypto Rover,"I'm down bad on my Altcoin portfolio.  But I don't care, I see the bigger picture.  I'm still loading up on these narratives:  - GameFi - Ai - DePIN - Memecoins",05/02/2024 09:33 AM,False,719,110,441
46,Crypto Rover,"Claim a $200 #Bitcoin or #Ethereum Trade on Bybit!  How to claim: • Sign up a new account using the link below • Deposit $100 within 7 days • Open up your free trade  🔸 Link: https://bybit.com/en/airdrop-activity-new?campaign_id=7717&affiliate_id=16210  + You are also eligible for a $40,000 deposit bonus using this link.",05/02/2024 09:06 AM,False,122,14,79
47,Crypto Rover,Any 20% correction in this #Bitcoin bull market is a gift.  Only a few will understand this...,05/02/2024 08:36 AM,False,928,234,275
48,Crypto Rover,"Spot #Bitcoin ETF money is dumb money.  Remember when we saw record inflows? $BTC was trading at all-time highs.  Now we see a dip, and we see record outflows.  Fear is here, and I'm loving it.",05/02/2024 07:58 AM,False,542,67,120
49,Crypto Rover,All the liquidity is laying above us.  #Bitcoin will go higher.   It's a matter of time.,05/02/2024 07:24 AM,False,911,127,224
50,Crypto Rover,There will be more than $2.6 billion dollars worth of #Bitcoin short liquidations if we hit $67k.  It's a matter of time...,05/02/2024 06:46 AM,False,613,84,142
51,Dypius,"Explore a range of earning solutions on our dApps at #DYP Tools! ✨  From DeFi staking within our ecosystem to Vaults and Aggregator services for other projects, we've got you covered. Plus, discover NFT staking options—all conveniently located in one place.  Start earning now at https://app.dypius.com",05/01/2024 10:03 AM,True,103,31,15
52,Crypto Rover,"What happens first for #Bitcoin?  $52,000                  $60,000 👇                                  👇",05/02/2024 06:12 AM,False,1118,76,326
53,Crypto Rover,#Bitcoin is showing some very important signals now you need to pay attention to!  Everything is discussed in the tweet below,05/02/2024 05:34 AM,False,278,45,92
54,Crypto Rover,#BITCOIN: THIS IS VERY BAD...  Watch ASAP:👇 https://piped.video/SrGEAdE2-y8,05/02/2024 05:20 AM,False,344,54,90
55,Crypto Rover,"💥BREAKING: Yesterday the Spot #Bitcoin ETF saw more than $563,700,000 outflow!",05/02/2024 05:01 AM,False,440,52,94
56,Crypto Rover,"💥BREAKING: For the first time in history, we've seen outflow from the BlackRock Spot #Bitcoin ETF!",05/02/2024 04:42 AM,False,1642,179,241
57,Crypto Rover,Will this #Bitcoin dip get worse?  Or have we seen the worse?,05/01/2024 07:59 PM,False,895,142,308
58,Crypto Rover,#Bitcoin is about to break the critical supertrend support! 🚨,05/01/2024 07:32 PM,False,828,94,161
59,Crypto Rover,"#BITCOIN IS BOTTOMED!!!  I AM LONG, SEND IT TO $70K",05/01/2024 06:53 PM,False,1266,154,171
60,Crypto Rover,"There is no liquidity below us.  #Bitcoin always follows the liquidity.  Don't get trapped, all shorts will be squeezed.",05/01/2024 06:49 PM,False,1028,156,192
61,Crypto Rover,I've got $100k #USDT to buy the dip.  What should I buy?,05/01/2024 06:15 PM,False,718,75,668
62,Crypto Rover,If you want to make the most money in this upcoming #Bitcoin bull run focus on these 3 narratives:  • AI coins • Memecoins • Ordinals,05/01/2024 05:39 PM,False,585,78,185
