,Open_time_unix,Open_time,open,high,low,close,volume,close_time_unix,Close_time,quote_volume,trans_count,taker_buy_volume,taker_buy_quote_volume,positive_p,negative_p,neutral_p
1092,2023-12-31 22:00:00,2023-12-31 22:00:00,2281.87,2306.6,2281.27,2303.72,19185.3443,2024-01-01 00:00:00,2024-01-01 00:00:00,44049843.5,45166.0,10626.4057,24396742.95,0.44710179726666666,0.08930863308333332,0.4635895736666667
1093,2024-01-01 00:00:00,2024-01-01 00:00:00,2303.72,2304.72,2271.0,2273.81,16553.9893,2024-01-01 02:00:00,2024-01-01 02:00:00,37863035.38,41998.0,7194.6617,16451859.81,0.37159982583333334,0.154896347665,0.47350384366666665
1094,2024-01-01 02:00:00,2024-01-01 02:00:00,2273.8,2283.36,2265.24,2275.89,16386.6927,2024-01-01 04:00:00,2024-01-01 04:00:00,37293273.89,44336.0,8406.1079,19136001.78,0.34836081849166667,0.16195215500333332,0.48968705128333334
1095,2024-01-01 04:00:00,2024-01-01 04:00:00,2275.89,2287.88,2274.16,2284.67,11720.8206,2024-01-01 06:00:00,2024-01-01 06:00:00,26738470.83,31116.0,6123.5922,13970675.68,0.5800638218,0.09828503942,0.3216511009
1096,2024-01-01 06:00:00,2024-01-01 06:00:00,2284.68,2300.0,2280.0,2299.8,13654.4555,2024-01-01 08:00:00,2024-01-01 08:00:00,31260928.44,38066.0,7125.5855,16317318.01,0.6444640285000001,0.010422961215000026,0.3451130252
1097,2024-01-01 08:00:00,2024-01-01 08:00:00,2299.8,2305.05,2297.4,2304.47,14239.6537,2024-01-01 10:00:00,2024-01-01 10:00:00,32767734.33,35581.0,7095.7401,16328002.09,0.7620578585,0.007254015395000021,0.2306881284
1098,2024-01-01 10:00:00,2024-01-01 10:00:00,2304.47,2308.2,2298.07,2304.16,12546.0603,2024-01-01 12:00:00,2024-01-01 12:00:00,28901443.5,36031.0,6225.6806,14343372.56,0.6030705015,0.012693756375000004,0.3842357232
1099,2024-01-01 12:00:00,2024-01-01 12:00:00,2304.16,2318.34,2294.84,2314.7,19619.7919,2024-01-01 14:00:00,2024-01-01 14:00:00,45245017.74,50942.0,10444.6088,24090687.39,0.43852599726666663,0.08918505589333334,0.47228894886666667
1100,2024-01-01 14:00:00,2024-01-01 14:00:00,2314.69,2319.55,2306.48,2313.76,20316.0105,2024-01-01 16:00:00,2024-01-01 16:00:00,46985421.46,48294.0,10090.6393,23336311.87,0.6286411746666667,0.027049067053333334,0.3443097560666667
1101,2024-01-01 16:00:00,2024-01-01 16:00:00,2313.77,2340.98,2313.76,2337.26,26486.2421,2024-01-01 18:00:00,2024-01-01 18:00:00,61666565.16,63482.0,14724.8943,34278826.32,0.20112686,0.20212752,0.5967456
1102,2024-01-01 18:00:00,2024-01-01 18:00:00,2337.27,2348.78,2332.2,2337.83,27732.0051,2024-01-01 20:00:00,2024-01-01 20:00:00,64936839.8,54789.0,14042.4023,32880655.85,0.30152305028125004,0.17103410578908335,0.52744282588125
1103,2024-01-01 20:00:00,2024-01-01 20:00:00,2337.83,2352.37,2323.66,2352.04,18261.6254,2024-01-01 22:00:00,2024-01-01 22:00:00,42742645.58,46869.0,10274.1186,24058121.09,0.5542871541666666,0.030905532313333345,0.41480731086666667
1104,2024-01-01 22:00:00,2024-01-01 22:00:00,2352.05,2397.56,2346.95,2378.08,70111.8883,2024-01-02 00:00:00,2024-01-02 00:00:00,166617259.5,147674.0,34734.5155,82520242.9,0.4524396520444445,0.14131032209833333,0.4062500354333333
1105,2024-01-02 00:00:00,2024-01-02 00:00:00,2378.09,2388.61,2371.47,2386.43,29554.6121,2024-01-02 02:00:00,2024-01-02 02:00:00,70320895.27,62040.0,13944.4417,33181550.46,0.78153604,0.0018781880000000029,0.21658573
1106,2024-01-02 02:00:00,2024-01-02 02:00:00,2386.42,2392.4,2377.18,2377.48,26976.6478,2024-01-02 04:00:00,2024-01-02 04:00:00,64336130.72,55109.0,13975.509,33329551.19,0.2408552,0.1777555,0.58138925
1107,2024-01-02 04:00:00,2024-01-02 04:00:00,2377.47,2388.93,2373.69,2385.84,23565.0108,2024-01-02 06:00:00,2024-01-02 06:00:00,56094602.12,53477.0,11331.3401,26974617.3,0.32564625279411763,0.16527448695802943,0.5090792709117647
1108,2024-01-02 06:00:00,2024-01-02 06:00:00,2385.84,2431.3,2380.09,2413.77,70038.6596,2024-01-02 08:00:00,2024-01-02 08:00:00,169228676.9,138332.0,36918.1954,89173586.58,0.4515022367111111,0.14136479945833333,0.4071329580333333
1109,2024-01-02 08:00:00,2024-01-02 08:00:00,2413.77,2416.4,2380.36,2391.24,36131.4864,2024-01-02 10:00:00,2024-01-02 10:00:00,86670265.21,84687.0,16341.288,39194860.07,0.2902329430085714,0.2159087754205714,0.49385827348571426
1110,2024-01-02 10:00:00,2024-01-02 10:00:00,2391.24,2404.68,2382.22,2398.0,28729.9006,2024-01-02 12:00:00,2024-01-02 12:00:00,68782623.74,72327.0,14475.5219,34660432.28,0.9395437,0.001453649800000012,0.05900266399999998
1111,2024-01-02 12:00:00,2024-01-02 12:00:00,2398.01,2402.65,2352.04,2357.48,59434.8299,2024-01-02 14:00:00,2024-01-02 14:00:00,140851462.2,131490.0,26580.9582,63000857.68,0.118894726,0.011020021500000018,0.8700852
1112,2024-01-02 14:00:00,2024-01-02 14:00:00,2357.48,2369.6,2350.19,2357.43,30095.4506,2024-01-02 16:00:00,2024-01-02 16:00:00,70982334.4,79021.0,13502.3188,31851312.2,0.5211869674,0.03719688854,0.44161612899999997
1113,2024-01-02 16:00:00,2024-01-02 16:00:00,2357.43,2372.75,2354.79,2369.19,26866.2938,2024-01-02 18:00:00,2024-01-02 18:00:00,63525831.44,66147.0,13249.8509,31334204.69,0.1919382475,0.06477793325,0.74328386
1114,2024-01-02 18:00:00,2024-01-02 18:00:00,2369.19,2380.0,2341.0,2366.34,32218.8172,2024-01-02 20:00:00,2024-01-02 20:00:00,76106990.43,81030.0,15394.8003,36370611.81,0.5395899571428571,0.052231422742857136,0.4081786274285714
1115,2024-01-02 20:00:00,2024-01-02 20:00:00,2366.33,2372.5,2351.0,2355.34,24318.0671,2024-01-02 22:00:00,2024-01-02 22:00:00,57405126.21,57001.0,13297.5024,31390451.32,0.450389128,0.20968733971,0.33992353200000003
1116,2024-01-02 22:00:00,2024-01-02 22:00:00,2355.35,2375.0,2347.4,2373.08,24919.7642,2024-01-03 00:00:00,2024-01-03 00:00:00,58876590.47,60897.0,13836.5582,32695883.02,0.42591091340625,0.16342517756875,0.41066390740625
1117,2024-01-03 00:00:00,2024-01-03 00:00:00,2373.08,2384.66,2364.21,2368.51,21790.0783,2024-01-03 02:00:00,2024-01-03 02:00:00,51704494.53,49084.0,12558.2582,29799708.8,0.3149230786941177,0.18396125489552942,0.5011156714117647
1118,2024-01-03 02:00:00,2024-01-03 02:00:00,2368.51,2379.61,2363.21,2376.94,21351.0867,2024-01-03 04:00:00,2024-01-03 04:00:00,50637243.3,42518.0,10610.1367,25164723.34,0.6195607860000001,0.12891778971,0.2515214334
1119,2024-01-03 04:00:00,2024-01-03 04:00:00,2376.94,2380.9,2356.99,2361.64,25203.3997,2024-01-03 06:00:00,2024-01-03 06:00:00,59796071.64,54420.0,12514.7449,29692205.1,0.34978900737536767,0.1252139715092794,0.5249970078930147
1120,2024-01-03 06:00:00,2024-01-03 06:00:00,2361.65,2385.45,2361.26,2376.01,29315.2538,2024-01-03 08:00:00,2024-01-03 08:00:00,69569237.4,59023.0,16609.6075,39420968.82,0.39925296633333335,0.15283758666,0.44790942333333333
1121,2024-01-03 08:00:00,2024-01-03 08:00:00,2376.02,2380.84,2294.01,2307.68,79391.5942,2024-01-03 10:00:00,2024-01-03 10:00:00,186006057.9,147310.0,34413.0426,80644957.37,0.5657534707595959,0.10389183960706061,0.33035469833030306
1122,2024-01-03 10:00:00,2024-01-03 10:00:00,2307.99,2308.6,2100.0,2223.79,274536.4424,2024-01-03 12:00:00,2024-01-03 12:00:00,606920345.4,465239.0,126176.4076,278900360.0,0.15565585000000004,0.40689626,0.43744782
1123,2024-01-03 12:00:00,2024-01-03 12:00:00,2223.79,2241.0,2190.0,2240.4,95180.9939,2024-01-03 14:00:00,2024-01-03 14:00:00,210265915.6,152834.0,51544.8493,113902143.4,0.09770926000000002,0.093776174,0.8085146
1124,2024-01-03 14:00:00,2024-01-03 14:00:00,2240.39,2245.33,2212.0,2223.3,86673.0802,2024-01-03 16:00:00,2024-01-03 16:00:00,193322395.1,126045.0,47726.2058,106456049.1,0.7259926,0.004913594999999993,0.2690938
1125,2024-01-03 16:00:00,2024-01-03 16:00:00,2223.3,2229.11,2188.0,2206.53,65634.6939,2024-01-03 18:00:00,2024-01-03 18:00:00,145070660.3,90586.0,34136.8376,75462650.34,0.615451975,0.07363617095333336,0.31091186866666665
1126,2024-01-03 18:00:00,2024-01-03 18:00:00,2206.54,2227.87,2205.28,2226.03,39700.2138,2024-01-03 20:00:00,2024-01-03 20:00:00,88044458.24,54416.0,22749.8188,50453055.19,0.5448560269714285,0.05528668074214285,0.3998573014642857
1127,2024-01-03 20:00:00,2024-01-03 20:00:00,2226.02,2226.45,2196.23,2209.72,35032.8858,2024-01-03 22:00:00,2024-01-03 22:00:00,77384425.33,48695.0,18351.2936,40533553.46,0.565653857,0.05352626536333334,0.3808198896666667
1128,2024-01-03 22:00:00,2024-01-03 22:00:00,2209.72,2219.92,2201.91,2205.92,31113.4749,2024-01-04 00:00:00,2024-01-04 00:00:00,68747560.21,48696.0,17043.8831,37662442.94,0.4292534513333333,0.11560901144666667,0.45513755233333336
1129,2024-01-04 00:00:00,2024-01-04 00:00:00,2205.92,2239.79,2204.63,2231.08,28217.3321,2024-01-04 02:00:00,2024-01-04 02:00:00,62834507.69,51506.0,16160.8698,35981660.44,0.36178419297142855,0.21994888653642858,0.41826692221428574
1130,2024-01-04 02:00:00,2024-01-04 02:00:00,2231.07,2244.04,2227.8,2235.93,27113.8304,2024-01-04 04:00:00,2024-01-04 04:00:00,60627237.07,44761.0,15220.5643,34034414.4,0.34281190874920636,0.24852485606198416,0.4086632331031746
1131,2024-01-04 04:00:00,2024-01-04 04:00:00,2235.93,2244.93,2220.0,2221.85,41907.6003,2024-01-04 06:00:00,2024-01-04 06:00:00,93594900.57,57922.0,19312.4353,43150947.33,0.8068517,0.005084650600000004,0.1880637
1132,2024-01-04 06:00:00,2024-01-04 06:00:00,2221.85,2229.71,2211.13,2223.4,34140.4375,2024-01-04 08:00:00,2024-01-04 08:00:00,75755755.35,57657.0,14970.0836,33219162.63,0.48219359478333335,0.10471946750416666,0.41308695683333335
1133,2024-01-04 08:00:00,2024-01-04 08:00:00,2223.41,2230.71,2205.0,2228.14,26886.6277,2024-01-04 10:00:00,2024-01-04 10:00:00,59703355.42,54475.0,13781.6307,30608814.13,0.38821828408253967,0.2369885931286508,0.374793126436508
1134,2024-01-04 10:00:00,2024-01-04 10:00:00,2228.13,2247.36,2222.7,2238.29,45742.7765,2024-01-04 12:00:00,2024-01-04 12:00:00,102279346.0,66738.0,25435.6724,56875956.24,0.6906750333,0.15089752018,0.15842745710000006
1135,2024-01-04 12:00:00,2024-01-04 12:00:00,2238.29,2285.99,2230.66,2276.87,67648.2678,2024-01-04 14:00:00,2024-01-04 14:00:00,153064176.0,123691.0,37913.8576,85772905.47,0.31056409,0.39656121499999997,0.29287468
1136,2024-01-04 14:00:00,2024-01-04 14:00:00,2276.88,2289.26,2259.1,2274.72,59032.6859,2024-01-04 16:00:00,2024-01-04 16:00:00,134188615.0,98720.0,30074.363,68359862.63,0.281976695,0.09287545430000001,0.625147825
1137,2024-01-04 16:00:00,2024-01-04 16:00:00,2274.72,2294.08,2268.28,2274.27,32391.5774,2024-01-04 18:00:00,2024-01-04 18:00:00,73822302.8,63512.0,16891.1907,38494835.7,0.5488625,0.20285884275,0.248278695
1138,2024-01-04 18:00:00,2024-01-04 18:00:00,2274.27,2294.69,2268.51,2273.17,33365.7797,2024-01-04 20:00:00,2024-01-04 20:00:00,76081212.19,67339.0,16970.6586,38700070.25,0.1364725,0.3400721,0.52345544
1139,2024-01-04 20:00:00,2024-01-04 20:00:00,2273.17,2286.75,2261.57,2267.11,21283.6648,2024-01-04 22:00:00,2024-01-04 22:00:00,48373650.89,45754.0,11019.4192,25044520.0,0.7443403,0.005275087999999997,0.2503846
1140,2024-01-04 22:00:00,2024-01-04 22:00:00,2267.11,2274.76,2212.0,2237.93,48924.733,2024-01-05 00:00:00,2024-01-05 00:00:00,110006001.5,87760.0,22918.5192,51538971.18,0.028599054000000013,0.7205712,0.2508297
1141,2024-01-05 00:00:00,2024-01-05 00:00:00,2237.94,2251.2,2231.71,2242.28,27957.6118,2024-01-05 02:00:00,2024-01-05 02:00:00,62707446.22,52523.0,13847.2752,31058390.35,0.38821828408253967,0.2369885931286508,0.374793126436508
1142,2024-01-05 02:00:00,2024-01-05 02:00:00,2242.29,2248.0,2234.3,2246.45,22540.5448,2024-01-05 04:00:00,2024-01-05 04:00:00,50555845.58,42681.0,12706.3385,28502317.36,0.3880801453492063,0.2577267435536508,0.3541931066031746
1143,2024-01-05 04:00:00,2024-01-05 04:00:00,2246.45,2265.72,2240.48,2252.75,35947.5628,2024-01-05 06:00:00,2024-01-05 06:00:00,81055751.9,56164.0,19519.0488,44001555.96,0.5071295436380953,0.12657381818880953,0.3662966674476191
1144,2024-01-05 06:00:00,2024-01-05 06:00:00,2252.75,2269.0,2250.0,2264.59,41398.2807,2024-01-05 08:00:00,2024-01-05 08:00:00,93534351.19,59247.0,25140.6745,56807082.26,0.55927466352,0.053299427344000005,0.3874259126
1145,2024-01-05 08:00:00,2024-01-05 08:00:00,2264.6,2265.89,2233.23,2241.97,28290.6024,2024-01-05 10:00:00,2024-01-05 10:00:00,63614061.3,61499.0,13184.8213,29643289.27,0.38482793057142856,0.10600196473642857,0.5091701127142857
1146,2024-01-05 10:00:00,2024-01-05 10:00:00,2241.97,2253.64,2234.29,2247.41,30904.0503,2024-01-05 12:00:00,2024-01-05 12:00:00,69353222.07,66227.0,15859.5198,35590998.9,0.318267746,0.13438453552,0.5473477385
1147,2024-01-05 12:00:00,2024-01-05 12:00:00,2247.41,2252.77,2218.0,2224.99,56208.2406,2024-01-05 14:00:00,2024-01-05 14:00:00,125530479.4,103935.0,28357.3189,63344523.03,0.6333516185,0.05425751633333334,0.31239086876666666
1148,2024-01-05 14:00:00,2024-01-05 14:00:00,2225.0,2233.34,2206.17,2232.1,38421.2617,2024-01-05 16:00:00,2024-01-05 16:00:00,85341063.36,71541.0,19373.2801,43034875.7,0.5756737197825397,0.06957883760214287,0.35474743850873014
1149,2024-01-05 16:00:00,2024-01-05 16:00:00,2232.1,2240.67,2224.2,2234.26,17683.7381,2024-01-05 18:00:00,2024-01-05 18:00:00,39490391.49,40223.0,9569.8445,21371215.84,0.49323738125,0.0459482888,0.46081429125
1150,2024-01-05 18:00:00,2024-01-05 18:00:00,2234.26,2261.0,2234.18,2246.39,23519.153,2024-01-05 20:00:00,2024-01-05 20:00:00,52759606.44,48458.0,12975.862,29110457.36,0.5125706188888889,0.06756664831111112,0.41986272444444445
1151,2024-01-05 20:00:00,2024-01-05 20:00:00,2246.4,2277.21,2238.22,2268.78,33772.2214,2024-01-05 22:00:00,2024-01-05 22:00:00,76419400.74,68705.0,20162.9399,45630813.1,0.5637567298571429,0.04816831326071429,0.3880749655714286
1152,2024-01-05 22:00:00,2024-01-05 22:00:00,2268.78,2270.0,2253.28,2254.91,18271.5141,2024-01-06 00:00:00,2024-01-06 00:00:00,41323938.9,42319.0,9167.7964,20732726.87,0.4508908457916667,0.055495290816666654,0.4936138700833333
1153,2024-01-06 00:00:00,2024-01-06 00:00:00,2254.92,2258.01,2250.4,2252.99,11134.6745,2024-01-06 02:00:00,2024-01-06 02:00:00,25097464.08,27696.0,5103.3484,11502994.25,0.43380555175,0.08318210987199999,0.4830123485
1154,2024-01-06 02:00:00,2024-01-06 02:00:00,2253.0,2255.66,2229.63,2235.19,20420.0017,2024-01-06 04:00:00,2024-01-06 04:00:00,45783082.59,47732.0,9103.7122,20414739.73,0.4495823573070513,0.12806768504948718,0.4223499662217949
