username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
spdrswap,gm spdrs  another 1m spdr has been added to the staking pool to reward the community for reaching the 100m webbed spdr   this will be reflected in your staking breakdown shortly   the web is growing,GM SPDRsAnother 1M SPDR has been added to the staking pool to reward the community for reaching the 100M webbed $SPDR. This will be reflected in your staking breakdown shortly. The web is growing! 🕷️ 🤍 🕸️,02/07/2024,0.0,0.14,0.0,0.14,0.71,4,0,0.7351,1,0.8649694919586182
SoComfyToken,you might be also bullish wif comfy on sol   first project audited by lost the dev reached them before they exploded to prove its transparency embracing the comfy lifestyle because in the end everyone derserve to get comfy 200mcap highest liquidity to mcap ratio youll find on sol 100 apr as defifarming pool on cremafinance,You might be also bullish wif $comfy on SOL 😌> First project audited by $LOST. The dev reached them before they exploded to prove its transparency.>Embracing the comfy lifestyle. Because in the end everyone derserve to get comfy.>200Mcap. Highest liquidity to Mcap ratio youll find on SOL.100% APR as Defi-farming pool on crema.finance,02/08/2024,0.0,0.0,0.2,0.4,0.4,-2,3,-0.2263,1,0.6038041710853577
SeipesNFT,monkey business on seinetwork   be ready,Monkey business on @SeiNetwork Be ready… 🔔,02/08/2024,0.5,0.0,0.0,0.0,0.5,0,1,0.3612,0,0.8589891195297241
Tukytuky_,degen play dyor  gold sol  chart moving  tmegoldonsolana xcomgoldonsolana goldsahibpro dexscreenercomsolana79exo  79exot1ar7qhbmgkxzvndv4zclqhsupqj2wtfvdumpsz   memecoin gold,🟠 - Degen play DYOR  $GOLD (SOL)Chart Movingt.me/goldonsolanax.com/goldonsolanagold.sahib.pro/dexscreener.com/solana/79eXo…79eXoT1aR7qhBMGKXzVNdV4ZcLqHsupqj2WTFvDumpSZ #Memecoin #GOLD,02/08/2024,0.0,0.0,0.0,0.0,1.0,0,2,0.34,0,0.9520045518875122
ulichaparro12,ad i have partnered with angryfemsnft to give away 5 sol 500  heres how to enter    follow angryfemsnft   join their discord  discordggdpevfmkq  retweet and tag 2 friends   winner will be announced in one week the first red pill community on crypto,#ad I have partnered with @AngryfemsNFT to give away 5 $SOL ($500)🚀Here’s how to enter ✅:▶️ Follow @AngryfemsNFT ▶️ Join their discord 🔽discord.gg/DpEvfMKq▶️ Retweet and tag 2 friends Winner will be announced in one week.The first red pill community on crypto🔥,02/07/2024,0.2,0.4,0.0,0.0,0.4,3,0,0.7506,1,0.540406346321106
ribamarenso,who still needs a 112 sol 1200 airdrop sent to their wallet,Who still needs a 11.2 SOL ($1200) airdrop sent to their wallet? 🙂👍,02/08/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9287383556365967
Atitty_,25 sol giveaway    repost and like tag a friend  follow atitty_   𝗘𝗻𝗱𝘀 48 𝗛𝗿𝘀   goodluck,2.5 $SOL GIVEAWAY! - Repost and Like Tag a friend- Follow @Atitty_ - 𝗘𝗻𝗱𝘀 48 𝗛𝗿𝘀. Goodluck 🩵,02/07/2024,1.0,0.0,0.0,0.0,0.0,2,1,0.6908,1,0.5251453518867493
sol_sorcerer,something about those fingers reminds me of drake,Something about those fingers reminds me of Drake 🤔,02/08/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.7320665717124939
Nairobi00000,clouded dream auction for 24 hours  starting bid 5 sol   collection link exchangeartsinglejrep8u8u,Clouded DreamAuction for 24 hours ⏳Starting bid: 5 $SOL Collection Link:🔗exchange.art/single/jrEp8U8u…,02/06/2024,0.0,0.0,0.0,1.0,0.0,0,0,0.2023,0,0.9460361003875732
PythNetwork,behold the pythnetwork,Behold the #PythNetwork 🔮,02/07/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.8489925265312195
