username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
binance,binance earn has launched a new alt_layer promotion  complete subscriptions to bnb locked products or eth staking to share up to 220000 alt in rewards  find out more,#Binance Earn has launched a new @alt_layer promotion!Complete subscriptions to #BNB Locked Products or $ETH Staking to share up to 220000 $ALT in rewards.Find out more ⤵️,02/20/2024,0.0,0.0,0.0,0.0,1.0,4,0,0.7003,0,0.6807973384857178
DogePayX,dogepaydexview to the moon  dexviewcometh0xdcb322683d dogepayment dogepay dogepay tothemoon shiba gateio lbank okx binance mexc aveai dextools,💳$DOGEPAY🚀@dexviewTO THE MOON!!!🎁🐶🎉🚀🐾✨🐕🚀dexview.com/eth/0xDCb322683d…#DogePayment #DOGEPAY #DogePay #ToTheMoon #SHIBA #Gateio #LBANK #OKX #Binance #MEXC #Aveai #Dextools,02/20/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.8865251541137695
Criptoprime0,binance tfuel usdt takeprofit target 2  profit 77844  period 6 days 17 hours 58 minutes,Binance$TFUEL/ $USDT Take-Profit target 2 ✅Profit: 7.7844% 📈Period: 6 Days 17 Hours 58 Minutes ⏰,02/20/2024,0.33,0.0,0.0,0.0,0.67,0,0,0.4404,0,0.8827863931655884
KamiiKh60626905,verifying my account on ice_blockchain with the nickname kamil12   learn more about the decentralized future that icenetwork is building   binance htx kucoin okx bybit gateio upbit crypto blockchain web3 altcoin bitcoin ethereum bnb,✅ Verifying my account on @ice_blockchain with the nickname: kamil12👉 Learn more about The Decentralized Future that #IceNetwork is building. 👇#Binance #HTX #KuCoin #OKX #Bybit #Gateio #Upbit #Crypto #Blockchain #Web3 #Altcoin #Bitcoin #Ethereum #BNB,02/20/2024,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.7016924619674683
ice_blockchain,it appears ripple was hacked for 213m xrp 1125m  source address rjnlz3a1qpkfwctjlphmmzafbkutc2qojm  so far the stolen funds have been laundered through mexc gate binance kraken okx htx hitbtc etc,It appears @Ripple was hacked for ~213M XRP ($112.5M)Source addressrJNLz3A1qPKfWCtJLPhmMZAfBkutC2QojmSo far the stolen funds have been laundered through MEXC Gate Binance Kraken OKX HTX HitBTC etc,01/05/2024,0.0,0.0,0.33,0.33,0.33,-3,-1,-0.7322,-1,0.8996537327766418
zachxbt,verifying my account on ice_blockchain with the nickname rajeshmanhas181   learn more about the decentralized future that icenetwork is building   binance htx kucoin okx bybit gateio upbit crypto blockchain web3 altcoin bitcoin ethereum bnb,✅ Verifying my account on @ice_blockchain with the nickname: rajeshmanhas181👉 Learn more about The Decentralized Future that #IceNetwork is building. 👇#Binance #HTX #KuCoin #OKX #Bybit #Gateio #Upbit #Crypto #Blockchain #Web3 #Altcoin #Bitcoin #Ethereum #BNB,01/31/2024,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.6959748268127441
DotPolka2912,which exchange do you want sidracoin to list their coin   a binance  b bybit c okx d kucoin  choose wisely choose your preferable exchange  like   repost   follow,Which Exchange do you want #Sidracoin to list their Coin ?A. BINANCE B. BYBITC. OKXD. KUCOINChoose wisely choose your preferable exchange.Like ❤️ | Repost 🔄 | Follow,02/20/2024,0.0,0.0,0.0,0.0,0.0,3,3,0.6808,0,0.9160462021827698
lantian9179,perseverance is key in trading lets stay focused and keep pushing forward   binance keepbuilding,Perseverance is key in trading. Lets stay focused and keep pushing forward! 📈💪#binance #keepbuilding,02/20/2024,0.0,0.25,0.0,0.5,0.25,2,1,0.3818,1,0.9610798954963684
grokbulll,30000 btcpizzaxyz piza added  total   87000   target  102030   a meme coin dedicated to bitcoin grok pepe btcpizzaxyz avax solana pork whotfdidimarry babyelon bitcoin bonk wif binance coin crypto cryptocom bnb doge wojak turbo,30.000 @btcpizzaxyz #piza ADDED🍕🍕🍕total 🍕🍕🍕 > 87.000 🍕target > 10-20-30 💵A meme coin dedicated to #bitcoin#GROK #PEPE @btcpizzaxyz #AVAX #Solana #PORK #whotfdidimarry #babyelon #BITCOIN #BONK #WIF @binance #coin #Crypto #Cryptocom #BNB #doge #wojak #turbo,02/20/2024,0.0,0.0,0.0,0.5,0.5,2,1,0.4588,0,0.9331452250480652
PantherAppai,at pantherai we prioritize user experience our dex development includes sleek and userfriendly interfaces making trading and investing a breeze   pantherai userexperience cryptotrading cryptocurrencies binance investor bitcoincash litecoin finance ai pantherai,🟣At PantherAI we prioritize user experience. Our DEX development includes sleek and user-friendly interfaces making trading and investing a breeze. #PantherAI #UserExperience #CryptoTrading #cryptocurrencies #binance #investor #bitcoincash #litecoin #finance #AI #Pantherai,02/20/2024,0.0,0.0,0.0,0.33,0.67,0,2,0.0,1,0.9213221669197083
