,username,text,date,is-retweet,likes,retweets,comments
0,Bill Nelson,"Impressive visit to the @blueorigin Huntsville Engine Production Facility! @NASA is proud to partner with Blue Origin, especially on the Blue Moon human landing system, which will help ensure a steady cadence of astronauts on the Moon to live and work before we venture to Mars.","Oct 27, 2023 · 2:00 PM UTC",True,4069,842,2421
1,Tory Bruno,Nominal run!,"Jun 8, 2023 · 1:05 AM UTC",True,3970,423,1175
2,Jeff Bezos,"Honored to be on this journey with @NASA to land astronauts on the Moon — this time to stay. Together, we’ll be solving the boil-off problem and making LOX-LH2 a storable propellant combination, pushing forward the state of the art for all deep space missions. #Artemis #MoonToMars https://www.blueorigin.com/news/nasa-selects-blue-origin-for-mission-to-moon","May 19, 2023 · 3:06 PM UTC",False,13523,2129,5148
3,Jeff Bezos,Big milestone. Kudos and congrats to the whole Zoox team!,"Feb 13, 2023 · 8:06 PM UTC",False,5346,840,4553
4,Jeff Bezos,Episode 3 of Last of Us is unbelievably good story telling. I am in awe of @Nick_Offerman performance. Incredible.,"Jan 31, 2023 · 4:59 PM UTC",False,29792,1390,2752
5,Jeff Bezos,Thank you Bill and Tim. So nice. Gratitude.,"Jan 28, 2023 · 7:35 PM UTC",False,2965,246,1285
6,Kevin Kelly,We crave experts for the new thing but almost all experts are expert in the old thing.,"Jan 10, 2023 · 11:21 PM UTC",True,2225,414,560
7,Jeff Bezos,"This year’s Bezos Day 1 Families Fund grants go to 40 incredible groups working to end homelessness in the U.S. In 5 years, we’ve given more than $500 million to 167 orgs – helping expand their support of families in need. Honored to support these groups. bezosdayonefund.org/day1fami…","Nov 22, 2022 · 12:56 PM UTC",False,6999,924,4097
8,Amazon Web Services,.@Werner is pulling back the curtain on #Amazon history with the Distributed Computing Manifesto.  Read the 25-year-old internal doc that changed the way systems were designed & built at Amazon.  Learn more. 👉 https://go.aws/3TGvc6o #AWS,"Nov 17, 2022 · 1:35 AM UTC",True,3162,654,1035
9,Jeff Bezos,"We’ve just announced a new Courage and Civility award recipient —  @DollyParton, who leads with her heart, and will put this $100 million award to great use helping so many people. She joins prior awardees, @VanJones68 and @Chefjoseandres.  Congrats, Dolly!","Nov 12, 2022 · 10:29 PM UTC",False,9067,1316,3630
10,Jeff Bezos,"Yep, the probabilities in this economy tell you to batten down the hatches.","Oct 18, 2022 · 11:40 PM UTC",False,8598,1383,2909
11,Jeff Bezos,The Hutch is going to do incredible things with this.  https://www.bloomberg.com/news/articles/2022-10-12/bezos-family-to-donate-711-million-to-cancer-center-in-seattle,"Oct 12, 2022 · 7:56 PM UTC",False,6085,645,2079
12,Jeff Bezos,Invention. You can still improve even an axe! Damn.,"Oct 9, 2022 · 11:30 PM UTC",False,48059,3720,2269
13,Bezos Earth Fund,"The Bezos Earth Fund has granted $110M to protect the Congo Basin, a critical ecosystem the world cannot afford to lose.  Watch to learn why we’re collaborating with partners across governments, businesses, and civil society to conserve 30% of the region by 2030.  #30by30","Oct 6, 2022 · 6:48 PM UTC",True,2869,495,888
14,Jeff Bezos,Go @JSalke and @AmazonStudios!,"Oct 5, 2022 · 6:48 PM UTC",False,1555,195,851
15,Jeff Bezos,https://frontofficesports.com/tnf-draws-record-prime-subscriptions-for-amazon/,"Sep 20, 2022 · 10:14 PM UTC",False,2450,294,1872
16,Jeff Bezos,https://www.amazon.science/blog/20b-parameter-alexa-model-sets-new-marks-in-few-shot-learning,"Sep 10, 2022 · 6:33 PM UTC",False,2687,386,1423
17,Jeff Bezos,"If you want unusual results, you’re going to need some missionary, brilliant “organizational misfits” on your team.  https://www.wsj.com/articles/rings-of-power-lotr-amazon-jd-payne-patrick-mckay-11662605833","Sep 10, 2022 · 2:05 AM UTC",False,4163,470,1364
